name,value,date,unused
Assassin's Creed: Valhalla,56610,2020/11/7,0
Assassin's Creed: Valhalla,51609,2020/11/8,1
Assassin's Creed: Valhalla,15698,2020/11/9,2
Assassin's Creed: Valhalla,146249,2020/11/10,3
Assassin's Creed: Valhalla,174561,2020/11/11,4
Assassin's Creed: Valhalla,44416,2020/11/12,5
Assassin's Creed: Valhalla,61704,2020/11/13,6
Call Of Duty: Modern Warfare,53626,2020/11/7,0
Call Of Duty: Modern Warfare,34385,2020/11/8,1
Call Of Duty: Modern Warfare,35118,2020/11/9,2
Call Of Duty: Modern Warfare,61048,2020/11/10,3
Call Of Duty: Modern Warfare,107612,2020/11/11,4
Call Of Duty: Modern Warfare,48111,2020/11/12,5
Call Of Duty: Modern Warfare,126663,2020/11/13,6
FIFA 21,53878,2020/11/7,0
FIFA 21,19840,2020/11/8,1
FIFA 21,14850,2020/11/9,2
FIFA 21,30692,2020/11/10,3
FIFA 21,41554,2020/11/11,4
FIFA 21,21143,2020/11/12,5
FIFA 21,84577,2020/11/13,6
Fortnite,190264,2020/11/7,0
Fortnite,48779,2020/11/8,1
Fortnite,51848,2020/11/9,2
Fortnite,79162,2020/11/10,3
Fortnite,88512,2020/11/11,4
Fortnite,39911,2020/11/12,5
Fortnite,96908,2020/11/13,6
League of Legends,188361,2020/11/7,0
League of Legends,127278,2020/11/8,1
League of Legends,131148,2020/11/9,2
League of Legends,212483,2020/11/10,3
League of Legends,117172,2020/11/11,4
League of Legends,185018,2020/11/12,5
League of Legends,226359,2020/11/13,6
Minecraft,81325,2020/11/7,0
Minecraft,50837,2020/11/8,1
Minecraft,52162,2020/11/9,2
Minecraft,75590,2020/11/10,3
Minecraft,119863,2020/11/11,4
Minecraft,44506,2020/11/12,5
Minecraft,121064,2020/11/13,6
