id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
39988796892,443006955,Autophil,13389,Age of Empires II,live,[!contest 🏆] Age of Empire | Prime League !video,1249,2020-11-14T19:14:10Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_autophil-{width}x{height}.jpg,['9166ad14-41f1-4b04-a3b8-c8eb838c6be6'],partner,"Streamer für Tempered Fate (!team) und Jungler für Bremer Brüder. Grandmaster 556LP Peaked. Phil | 21y/o | Jungle Main | ""Student""",
40485520974,25766032,wintergaming,13389,Age of Empires II,live,🔴A to Z Civ !Challenge🔴trying not to be so mean to backseaters (failing)🔴❄️@starcraftwinter !discord❄️!patreon❄️,853,2020-11-14T19:14:33Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_wintergaming-{width}x{height}.jpg,"['a005b174-b20e-46b1-8679-4589fef81c8e', 'd6bf03b8-42f4-4981-b070-841c7457a9aa', 'df262ff6-74d1-415b-942c-d584d44426c4', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",partner,"Learn to play, love and live Starcraft (and also other inferior games sometimes). Winter has played Starcraft 2 since 2010, been a full time streamer since 2014, and has been angry at twitch chat since Twitch was founded.",
39718764813,56201853,aoc_ashleylynn,13389,Age of Empires II,live,"Today 1v1s, Sunday night community games with Nico <3",182,2020-11-15T04:09:22Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_aoc_ashleylynn-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,Hi guys. I'm Ash and I stream AoE :),
40495277070,62287316,slamjam_,13389,Age of Empires II,live,1v1's/TG's !VPN,169,2020-11-15T05:23:21Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_slamjam_-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"Hello! My name is Chris, or also known as slam, and I will be playing Age of Empires II: The Conquerors",
39993668732,44098497,Shantao,13389,Age of Empires II,live,3v3 mit Vadda und Phil,165,2020-11-15T04:19:21Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_shantao-{width}x{height}.jpg,['9166ad14-41f1-4b04-a3b8-c8eb838c6be6'],partner,Momentan: Hauptsächlich Rocket League und nebenbei TFT & Legends of Runeterra sobald wieder zugänglich,
39718511037,169587471,Pela_aoe,13389,Age of Empires II,live,1vs1 2k Rankeds ! !bracket !youtube !discord,111,2020-11-15T03:34:23Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_pela_aoe-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],affiliate,,
40495541598,194318695,1ron_chef,13389,Age of Empires II,live,BO7 CHEF VS OCEAN,49,2020-11-15T05:39:52Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_1ron_chef-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,,
39719106493,98831159,ElvisTheAlien,13389,Age of Empires II,live,chill stream,38,2020-11-15T05:08:16Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_elvisthealien-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,"I'm a youtuber that talks about movies etc. I own a clothing line called Ayylien that I'm very proud and passionate about. You can look at what we're offering at ayylienclothing.com, also available at Zumiez CA. I'll mostly use twitch to play games. Thanks for stopping by!",
40493061278,32276813,kw91078,13389,Age of Empires II,live,十一一五 一五一十,38,2020-11-15T03:20:49Z,zh,https://static-cdn.jtvnw.net/previews-ttv/live_user_kw91078-{width}x{height}.jpg,['74c92063-a389-4fd2-8460-b1bb82b04ec7'],affiliate,,
40489028382,96821548,sayrumz,13389,Age of Empires II,live,RANKED GAMES DEBUT - low elo legends in training,32,2020-11-14T23:40:21Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sayrumz-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '96b6073f-450d-4248-8ed4-988e28f3f759', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7']",affiliate,"Hello, my name is Sarah! Welcome to my channel :) I play a lot of games with my friends! Just started playing AOE and on a journey to get to ranked games, thought I would turn the stream on and see what happens. Hang around and watch me try to git gud :D Advice is welcomed and appreciated!",
39718682237,27756750,SpringTV,13389,Age of Empires II,live,L8 Night TG  | SubGoal 74/200 | !prime !yt ,30,2020-11-15T03:57:35Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_springtv-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,,
40491423518,173141354,AsMelody,13389,Age of Empires II,live,Team Games|Doritos cup| Magios Corp| !rank !rank2 !match,25,2020-11-15T01:56:22Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_asmelody-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],affiliate,,
39993677644,575964583,goblinigr,13389,Age of Empires II,live,"Age of Empires II_2 Definitive Edition. Эпоха Империй Байиннаун прохождение.
Приятного просмотра!",24,2020-11-15T04:25:48Z,ru,https://static-cdn.jtvnw.net/previews-ttv/live_user_goblinigr-{width}x{height}.jpg,['0569b171-2a2b-476e-a596-5bdfb45a1327'],affiliate,всем салют,
40494628686,45695282,songsongaoede,13389,Age of Empires II,live,1v1 Ladder ! 2v2 worlcup today!,24,2020-11-15T04:45:23Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_songsongaoede-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,,
40487501470,261417547,noboru43xxxx,13389,Age of Empires II,live,"【AOC news】マヤで絶対こけないスタートダッシュを決める 【家の建てる場所
】　


",13,2020-11-14T21:53:00Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_noboru43xxxx-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,,
