id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
40494835246,20149,iJustine,509538,Animal Crossing: New Horizons,live,Stream troubleshooting.. as always ,411,2020-11-15T04:57:19Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_ijustine-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,I'm new but I'm old..,
40491429518,76454775,Sintilla,509538,Animal Crossing: New Horizons,live,"villager hunting, let's make today a good day *:･ﾟ✧",356,2020-11-15T01:56:39Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sintilla-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '8a01ea18-df97-4046-9cff-a9a822bb96e5']",partner,"SUP GAMERS. I'm a lil crazy and enjoy playing FPS games, Animal Crossing making perler art and I'm obsessed with LEGO.",staff
40489377358,148014775,motherrmoon,509538,Animal Crossing: New Horizons,live,ya girl not sick anymore ٩(^ᴗ^)۶ (DOTTY HUNT 800+ ISLANDS IN) | !alerts,214,2020-11-15T00:02:12Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_motherrmoon-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '8a01ea18-df97-4046-9cff-a9a822bb96e5', '8bbdb07d-df18-4f82-a928-04a9003e9a7e', '2920fbf2-293e-4753-8ec7-b69dba5392d0']",partner,ヾ(＾∇＾) hewwo!,
40495257422,472086925,ThisWiz,509538,Animal Crossing: New Horizons,live,🌴16 FREE Treasure Islands 🌴Charity Stream Festive Items 🎄and more! 160 Villagers for you take home today 🐳!!!,167,2020-11-15T05:22:07Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_thiswiz-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,Old man variety streamer mainly focusing on switch games and arpg games with a little bit of fps in the mix.,
40492978974,149877622,argeniecrossing,509538,Animal Crossing: New Horizons,live,cozy decorating stream ✿ ʕ ˵• ᴥ •˵ ʔ ~ ,157,2020-11-15T03:16:27Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_argeniecrossing-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'cc8d5abb-39c9-4942-a1ee-e1558512119e']",partner,ʕ •ᴥ• ʔ Hi there! My name is Argenie ~ I love animal crossing and survival games. We are a comfy inclusive bunch here and I hope you enjoy your stay ~ argeniecrossing is my ONLY account! ,
40492722958,186001678,MeteorMatt,509538,Animal Crossing: New Horizons,live,BUILDING NEW ISLAND 🏝️ TRASHCORE ,76,2020-11-15T03:03:12Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_meteormatt-{width}x{height}.jpg,"['8a01ea18-df97-4046-9cff-a9a822bb96e5', '8bbdb07d-df18-4f82-a928-04a9003e9a7e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",partner,Hey there! I play a lot of Animal Crossing: New Horizons and other fun games on Twitch. Feel free to join the chat and say hi! ✌️,
40493856526,549492476,OhMyCrossing,509538,Animal Crossing: New Horizons,live,Constancio's Audio Island Tour! | Snowflake Catching Competition for FROZEN DIY SET ~,56,2020-11-15T04:03:17Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_ohmycrossing-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8bbdb07d-df18-4f82-a928-04a9003e9a7e', 'cc8d5abb-39c9-4942-a1ee-e1558512119e']",affiliate,,
39718730077,553686344,isleofmarlie,509538,Animal Crossing: New Horizons,live,cozy stream - working on the winter island (ﾉ◕ヮ◕)ﾉ*:･ﾟ✧ ~ !discord !newvideo !hype,56,2020-11-15T04:04:17Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_isleofmarlie-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'cc8d5abb-39c9-4942-a1ee-e1558512119e', 'e3a6b378-232b-4ec2-9a82-86b72851e09a', '8ba227ca-073c-46a7-b3cc-193e52c5ab4d']",affiliate,"♡ ˖◛⁺⑅♡ Hi, I’m Michelle and I’m a 23 year old ACNH player from the US! My goal is to create a safe space for BIPOC members and continue to entertain through game play! ♡",
40491809870,89339818,ObstKhanisar,509538,Animal Crossing: New Horizons,live,✨🍂 Happy Birthday Megaroo! :D,46,2020-11-15T02:15:16Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_obstkhanisar-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '8ba227ca-073c-46a7-b3cc-193e52c5ab4d', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e']",affiliate,"I love Nintendo games! My favorites are Animal Crossing, Pokemon, Zelda & Mario games. My dream is to become a polyglot and learn to speak as many languages as I can. I want to make friends from all over the world!【英】【日】【仏】",
40495082654,104211713,haisy_,509538,Animal Crossing: New Horizons,live,🍑 come get comfy 🍑,39,2020-11-15T05:11:21Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_haisy_-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '8bbdb07d-df18-4f82-a928-04a9003e9a7e']",affiliate,"comfy, cursing & inclusive streamer  💗",
40492860622,263855635,Lizabelle,509538,Animal Crossing: New Horizons,live,Why was mushroom the life of the party? Because he is a fun guy!,35,2020-11-15T03:10:13Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_lizabelle-{width}x{height}.jpg,"['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '8a01ea18-df97-4046-9cff-a9a822bb96e5']",affiliate,Hallo? I'm Liz! Nice to meet you. I'm a potato player who is in love with Splatoon 2 & The Sims 4. (*she/her) Please join me for bad jokes & intense button smashing. (∪ ◡ ∪) ,
40493204174,142323514,LilyPaddie,509538,Animal Crossing: New Horizons,live,🌸my town is UGLY cries plz HELP MEEEE 🌸!socials,34,2020-11-15T03:28:36Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_lilypaddie-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"🌸Hello`! I love to stream games with viewers such as jack box, marbles, league of legends, animal crossing, and more! sometimes  I like to do art on stream too!🌸",
40491553470,210406439,jassydance,509538,Animal Crossing: New Horizons,live,🍁🥧 Island clean-up time!!! 🍄,31,2020-11-15T02:02:26Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_jassydance-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,A 4th year dance student from Toronto who has played WAYYY too much Animal Crossing since it came out! ,
40492672494,112800360,_상덕,509538,Animal Crossing: New Horizons,live,주말 농장,27,2020-11-15T03:00:48Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_sangduck-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],affiliate,폐지게임이 낳은 문제아. 연애운을 드랍운으로 바꿔먹은 사나이.능지겜에선 또다른 자아가 나타나는 남자.상덕입니다.,
40490259182,50971900,deanflux,509538,Animal Crossing: New Horizons,live,🌟 Chill Vibes 🌟 VILLAGER HUNTING | Mitzi where are you?,26,2020-11-15T00:54:27Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_deanflux-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '8bbdb07d-df18-4f82-a928-04a9003e9a7e', '69318d09-f132-4853-b4b6-09a0580f7092', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580']",affiliate,"I play games, you watch. He/him. LGBTQIA+",
40491493982,169292307,SpaceCaptainKitt,509538,Animal Crossing: New Horizons,live,ILY | !twitter !Merch !TTSMerch,24,2020-11-15T01:59:46Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_spacecaptainkitt-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,I meme here,
40491999886,23473417,GoodVibes,509538,Animal Crossing: New Horizons,live,borthday strim! ,22,2020-11-15T02:25:23Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_goodvibes-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"Oh hai, welcome all greasy nerds! My name is Molly, welcome to my channel! We are the Pooters, a lurker-friendly, easy-going group. I have a full time job and streaming is only a hobby so I do not have a set schedule at this time. I play mostly single player story-centered action/adventure games ♥",
40494976766,39954984,百みお民洛伊,509538,Animal Crossing: New Horizons,live,11/15日：巡田水森友會+薩爾達散步之息,18,2020-11-15T05:05:09Z,zh,https://static-cdn.jtvnw.net/previews-ttv/live_user_zoe00000-{width}x{height}.jpg,['74c92063-a389-4fd2-8460-b1bb82b04ec7'],,開台前會在DC頻道進行通知，也歡迎來閒聊不定時開台，一切都看不專業實況主有沒有空、有沒有想玩的遊戲,
39717243741,588299225,thegeminibean,509538,Animal Crossing: New Horizons,live,Day 3!! Let's choose a normy!!!,18,2020-11-15T01:07:53Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_thegeminibean-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,hiii i'm katie(: you will probably catch me arguing w a villager or giving chat a kith,
40494973422,479355244,ohheyitsmac,509538,Animal Crossing: New Horizons,live,weekend decorating wooo (ﾉ◕ヮ◕)ﾉ*:･ﾟ✧ ♡♡♡ !discord,17,2020-11-15T05:04:58Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_ohheyitsmac-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'cc8d5abb-39c9-4942-a1ee-e1558512119e', 'ac763b17-7bea-4632-9eb4-d106689ff409']",affiliate,Hi I'm Mac :) Come chat with me during streams!,
40491298462,444856762,tean_beann,509538,Animal Crossing: New Horizons,live,Friends & Villager Hunt! !discord !lurk,16,2020-11-15T01:49:49Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_tean_beann-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '8bbdb07d-df18-4f82-a928-04a9003e9a7e']",affiliate,"Messy free spirit 🌿✨ 27 • USA ~ She/Her 🌻PFP,badges & emotes ~ @/kellicrossing on IG",
40492915310,566334486,aclaurr,509538,Animal Crossing: New Horizons,live,cozy decorating and terraforming stream. ,14,2020-11-15T03:13:04Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_aclaurr-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'cc8d5abb-39c9-4942-a1ee-e1558512119e', '96b6073f-450d-4248-8ed4-988e28f3f759']",,,
40494990846,480467049,유백호사,509538,Animal Crossing: New Horizons,live,[신입/유입환영] 나도 드디어 동숲을 해보나!,14,2020-11-15T05:05:59Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_yu_baek_-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],affiliate,발컨맛집의 유백!,
40492150654,275711610,GalarianInstict,509538,Animal Crossing: New Horizons,live,~Villager Tier List [Mi opinión] ~//~Encontramos a Kabuki en el NMT 1241! o(*￣▽￣*)o ///// !discord,13,2020-11-15T02:33:22Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_galarianinstict-{width}x{height}.jpg,"['d4bb9c58-2141-4881-bcdc-3fe0505457d1', '8bbdb07d-df18-4f82-a928-04a9003e9a7e', 'ac763b17-7bea-4632-9eb4-d106689ff409']",affiliate,"Hola soy Instinct, bienvenid@ a mi canal! me gusta mucho los juegos de Nintendo pero exploraremos nuevos juegos en este canal.",
40492343214,45814964,GlitchyNPC,509538,Animal Crossing: New Horizons,live,Tranqui stream decoranding mi Isla,13,2020-11-15T02:43:45Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_glitchynpc-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],affiliate,"Mi nombre es Pedro (Puedes llamarme Pit), me gusta jugar videojuegos y dibujar, en este canal juego varias cosas como Animal Crossing y Smash Bros. con mis amigos.",
39715339261,501122230,casuallyfee,509538,Animal Crossing: New Horizons,live,Everything must go all you can grab!,12,2020-11-14T21:01:40Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_casuallyfee-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'cc8d5abb-39c9-4942-a1ee-e1558512119e']",affiliate,❥ Just a casual gamer ,
