id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
39706112621,105458682,BobRoss,509660,Art,live,Bob Ross - Weekend Marathon! Beginning Fridays at 12PM EST.,2609,2020-11-13T16:47:37Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_bobross-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"Robert Norman ""Bob"" Ross was an American painter, art instructor, and television host. He was best known as the creator and host of The Joy of Painting, a television program that aired on PBS in the United States, Canada, and Europe.",
39993508236,26194641,ZONEsama,509660,Art,live,"Black Friday Print (ZONE-tan, Otachan & Melody)",435,2020-11-15T02:38:23Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_zonesama-{width}x{height}.jpg,"['dfaa4f24-e99f-430d-aa29-8fb2b2717ece', '6606e54c-f92d-40f6-8257-74977889ccdd', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",partner,"I make all those Flash cartoon 'parodies'. Yes, THOSE ones.",
39717747965,547050189,euphie_vt,509660,Art,live,【VTUBER】i am drawing!! from scratch!! 【EN/日本語】,247,2020-11-15T02:04:39Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_euphie_vt-{width}x{height}.jpg,"['6606e54c-f92d-40f6-8257-74977889ccdd', '64d9afa6-139a-48d5-ab4e-51d0a92b22de', 'dfaa4f24-e99f-430d-aa29-8fb2b2717ece', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",affiliate,"hello! i am euphie, a new Vtuber! I stream games, singing, and drawings!",
40494197982,208235117,thegildedwitch,509660,Art,live,Oil Paint + Mead | !art !socials,199,2020-11-15T04:21:42Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_thegildedwitch-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '77223888-8535-4614-974b-b1b2673456eb', '64d9afa6-139a-48d5-ab4e-51d0a92b22de']",affiliate,*insert emo/screamo lyrics here*,
40493150638,75122210,KaptivateTV,509660,Art,live,Snuffy's Commission!! | !ks for VN Kickstarter! | Twitter: @KaptivateTV | !patreon,197,2020-11-15T03:25:40Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_kaptivatetv-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '6606e54c-f92d-40f6-8257-74977889ccdd', '02ba4017-ed3b-4b82-ab20-011860784f77']",partner,I stream drawings of wholesome anime waifus!,
40491381358,16678946,Coestar,509660,Art,live,UNDO CREW - Just Vibing / RPG Canvas +merch (#StreamADay 2538),193,2020-11-15T01:54:17Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_coestar-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"Daily variety streamer, content producer, gamer and game collector.",
40491160158,172368287,DerpixonTwitch,509660,Art,live,[ENG] Shapeshifter Rough Animations + Other Stuff,170,2020-11-15T01:42:19Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_derpixontwitch-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"Derpixon's Twitch! :D I'm a NSFW animator, but I like to stream SFW stuff too! :D",
40490447134,230351395,chotggenius,509660,Art,live,[Eng/Kor] 좌우로 움직이는 짤 :),134,2020-11-15T01:03:52Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_chotggenius-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],affiliate,,
40494646638,51163862,九櫻,509660,Art,live,打滾狐狸///,128,2020-11-15T04:46:29Z,zh,https://static-cdn.jtvnw.net/previews-ttv/live_user_gallant99770-{width}x{height}.jpg,['74c92063-a389-4fd2-8460-b1bb82b04ec7'],affiliate,BGM不喜請靜音~~~~,
40487771982,58004343,ItsMoofie,509660,Art,live,Commissionsssssssssssssss :),126,2020-11-14T22:11:55Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_itsmoofie-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,:),
