id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
39719128941,536794313,PapoMC,514179,Blazing Sails,live,"VAMOS A CONQUISTAR EL OCÉANO CON ZAINA, SILITHUR Y TADEO - !discord !youtube",4520,2020-11-15T05:12:29Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_papomc-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],partner,,
39718012429,492053598,zainita,514179,Blazing Sails,live,Jugando a ser piratitas con Papo y Silithur // Meta: 300 Subs,815,2020-11-15T02:34:00Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_zainita-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],partner,💻Management Global: @urbanroosters 📱Mail de contacto: zaina@urbanroosters.com  YouTube:https://www.youtube.com/channel/UC8Y8471w2Qaj3eV7v9UsHoQ ,
39717964685,278206675,LaPinky,514179,Blazing Sails,live,+18 Blazing Salesssssso / !manijomio !Ig,61,2020-11-15T02:28:47Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_lapinky-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],partner,FELICES ANTE TODO,
39719167869,226400219,viperzinn,514179,Blazing Sails,live,FMG de la pirateria pa | !donacion !host !ig,11,2020-11-15T05:20:28Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_viperzinn-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],affiliate,Juego juegos ,
40494192174,145534836,ApeBraine,514179,Blazing Sails,live,Going Pirate Mode,8,2020-11-15T04:21:23Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_apebraine-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', 'fd8f5e68-42d3-4544-a273-5fc92dabc568', '8486f56b-8677-44f7-8004-000295391524']",,I'm pretty bad at most games I play,
39718156925,485728500,josu_lt,514179,Blazing Sails,live,Juegan Los Pitusas | Blazing Sails | Los Pitusas | !Comandos,5,2020-11-15T02:50:48Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_josu_lt-{width}x{height}.jpg,"['36b47e6e-6cdf-46fa-a85e-bd18a64af7ad', 'd4bb9c58-2141-4881-bcdc-3fe0505457d1']",,Streams todos los dias a la noche IA TU SABE,
39718953645,137907267,legolaselftw,514179,Blazing Sails,live,4 Piratas solos en altamar,4,2020-11-15T04:39:33Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_legolaselftw-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],,,
39717841133,210443348,TrapitoEstelar,514179,Blazing Sails,live,TRAPOS AL MAR!!!!,3,2020-11-15T02:14:59Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_trapitoestelar-{width}x{height}.jpg,"['d4bb9c58-2141-4881-bcdc-3fe0505457d1', '6606e54c-f92d-40f6-8257-74977889ccdd']",,Streams Viernes-Sabado-Domingo,
39718978989,159469053,RafqeL,514179,Blazing Sails,live,PIRATEANDO NASHII,3,2020-11-15T04:44:05Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_rafqel-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],affiliate,Jugador profesional de Minecraft,
39718445453,178164775,BONNEDJ,514179,Blazing Sails,live,❗ARG❗ JUGANDO CON SEGUIDORES - 2000 FOLLOWS Y ME RAPO 🔸 IG @BONNEARMY,3,2020-11-15T03:25:52Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_bonnedj-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],affiliate,"Streamer de Variedad de medio tiempo, podes encontrar todo tipo de juegos. Bienvenidos a La #BONNEARMY",
40494116398,581363866,MataGamer94,514179,Blazing Sails,live,Blazing Sails battle royal Pirata,3,2020-11-15T04:17:16Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_matagamer94-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],affiliate,Cubano de nacimiento que reside en USA. Me gustan los juegos y pasarla bien.,
