id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
39717519341,75346877,Brawlhalla,460316,Brawlhalla,live,WORLD CHAMPIONSHIP SINGLES - Day 1,88783,2020-11-15T01:39:12Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_brawlhalla-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '36a89a80-4fcd-4b74-b3d2-2c6fd9b30c95']",partner,"Welcome to Brawlhalla: the free to play platform fighter on PS4, Xbox One, Nintendo Switch, Steam, iOS, and Android! It's World Championship Month and all the action is right here! Check out the Stream Schedule to know when to watch: https://www.brawlhalla.com/schedule/ ",
39717518733,150793103,ProBrawlhalla,460316,Brawlhalla,live,WORLD CHAMPIONSHIP SINGLES - Day 1,101,2020-11-15T01:39:08Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_probrawlhalla-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,Official Brawlhalla Esports. Visit our main channel for esports and more: twitch.tv/brawlhalla,
39717586557,273174260,EstacaoBH,460316,Brawlhalla,live,[PT/BR] WORLD CHAMPIONSHIP SINGLES - Day 1,95,2020-11-15T01:46:58Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_estacaobh-{width}x{height}.jpg,['39ee8140-901a-4762-bfca-8260dea1310f'],partner,"Todos os torneios de Brawlhalla SA em um só canal! Eventos, torneios, patch notes, show matches e muito mais!",
39716631853,213348932,The_TryHardGamer,460316,Brawlhalla,live,"!join 1v1, 2v2, Anything ya want come Brawl!",30,2020-11-14T23:57:00Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_the_tryhardgamer-{width}x{height}.jpg,"['67259b26-ff83-444e-9d3c-faab390df16f', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '8ba227ca-073c-46a7-b3cc-193e52c5ab4d', '96b6073f-450d-4248-8ed4-988e28f3f759', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'cc8d5abb-39c9-4942-a1ee-e1558512119e']",affiliate,"Typical gamer trash talker who loves to game, interact with people and just try to bring joy and laughter to everyone",
40490542174,194156418,JerryBuster,460316,Brawlhalla,live,Ven a jugar mientras me cuentas tu día,19,2020-11-15T01:08:49Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_jerrybuster-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],affiliate,"Hablo de todo y tryhardeo por vocación. Si tienes opiniones fuertes, este es tu lugar.",
40491580014,401055741,DekonTheCreator,460316,Brawlhalla,live,We Throwing Hands | BCX Pack and Battle Pass Giveaway | !discord !room ,18,2020-11-15T02:03:39Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_dekonthecreator-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,Watch me....or don't?,
40491316286,470016137,princeofgames8,460316,Brawlhalla,live,Royal Family Hangout. Giving away free access to Brawlhalla ,17,2020-11-15T01:50:48Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_princeofgames8-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,Just the upcoming worst brawlhalla player. Subscribe to my YouTube channel and check out my montages @Prince8 Gamer,
40492513086,550944478,XIICROWLEYIIX,460316,Brawlhalla,live,All Are Welcome To Join... 20 Years Later and Still Loving This Game - Will Play Some Other Games Tonight As Well,14,2020-11-15T02:52:47Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_xiicrowleyiix-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '57e81aba-c8ae-48aa-8fba-7a7eb9d3dd23', '325f7a22-26f4-4ad7-be48-f464de0b89ce', '0cb7e377-a308-44e8-91f7-07eea1d96129']",affiliate,"Trying to live the dream... Gaming about 40 hours a week, Addicted Gamer and It's not going to stop. Follow if you care / Sub if you want to see this stream grow. I may have 8 years as a 31B in the Army and 15 years as a Musician. But I've been gaming since I could hold a controller. Lets have fun. ",
40487105646,514352325,Its_Gomita,460316,Brawlhalla,live,"Brawhalla con gente bonita ¡Unanse!

!id 
Song Request Activado
",11,2020-11-14T21:21:54Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_its_gomita-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],affiliate,"Soy un chico de 15 años que ama los videojuegos con todo su corazón, nada competitivo, acompáñame en esta aventura para que crezcamos juntos cómo comunidad, espero que se diviertan viendo mis streams :3",
40490958862,565025787,lucianogmt,460316,Brawlhalla,live,PLATIQUEMOS UN RATO Y JUGUEMOS ,11,2020-11-15T01:31:29Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_lucianogmt-{width}x{height}.jpg,"['67259b26-ff83-444e-9d3c-faab390df16f', '8ba227ca-073c-46a7-b3cc-193e52c5ab4d', 'd4bb9c58-2141-4881-bcdc-3fe0505457d1', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e']",,"Me considero Gamer, Divertido, Alegre, Simpático y Gracioso ¿Qué mas se puede pedir? Mexico ",
