id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
40490866094,81628627,Gladd,497057,Destiny 2,live,Hardcore PvE Minimum Maximum Gameplay Xtreme - !30 !PLUSH,5035,2020-11-15T01:26:34Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_gladd-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', 'b157e8d6-b7ba-49f4-836f-09886c072f1f']",partner,"I'm just here to have a good time!  No drama and only smiles :) Life is good.  Oh yeah, my name is Sean.",
40489641406,96706929,Sweatcicle,497057,Destiny 2,live,SUPER ULTRA JUICER DROPS 9000000 POWER !FAQ ,3470,2020-11-15T00:18:01Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sweatcicle-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'b157e8d6-b7ba-49f4-836f-09886c072f1f']",partner,I'm Sweat ,
40487071198,9066496,Gigz,497057,Destiny 2,live,LVL 1259 - Beyond Light Raid Grind,1569,2020-11-14T21:19:17Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_gigz-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'b157e8d6-b7ba-49f4-836f-09886c072f1f']",partner,,
40487865326,77913099,IFrostBolt,497057,Destiny 2,live,Power & Loot Grind | !Trials Canceled | Beyond Light DAY 5| Electric Frost Berry Drink: !focus | @IFrostBolt,986,2020-11-14T22:18:49Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_ifrostbolt-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'b157e8d6-b7ba-49f4-836f-09886c072f1f']",partner,"I focus on providing good gameplay along with some of my random personality ontop of it. On the mission to build a community filled with chill vibes, laughs, and positive friends. ",
40490633822,37524427,LacedUpLauren,497057,Destiny 2,live,SATURDAY SIPPIN!,855,2020-11-15T01:13:45Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_laceduplauren-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '79977fb9-f106-4a87-a386-f1b0f99783dd', '6606e54c-f92d-40f6-8257-74977889ccdd']",partner,"@laceduplauren - A tattoo enthusiast and plant mom, who loves playing games, chill mode. Founder of TCKT (The Cool Kids Table). Very interactive with chat, so just say hello!",
40492257934,77309670,TeftyTeft,497057,Destiny 2,live,"Behind on the GRIND, gotta catch up",483,2020-11-15T02:39:02Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_teftyteft-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'b157e8d6-b7ba-49f4-836f-09886c072f1f']",partner,"Fulltime Streamer, YouTuber, Music Producer, Husband, Beard.",
40487243566,114519775,GsxrClyde,497057,Destiny 2,live,!guide 1242 Base Pwr // !newvideo // PC Partner !artesian !gamersupps,462,2020-11-14T21:32:50Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_gsxrclyde-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'b157e8d6-b7ba-49f4-836f-09886c072f1f']",partner,"My name is Clyde. I live in Cleveland, Ohio and love to game. I mainly play Destiny but, also play other games as well. Me and my friends help out the community a lot. I play on Ps4, Xbox One, and PC",
39988591996,77138960,Aelris_,497057,Destiny 2,live,(1250) как дела в лост секторе пацаны?,327,2020-11-14T19:03:11Z,ru,https://static-cdn.jtvnw.net/previews-ttv/live_user_aelris_-{width}x{height}.jpg,"['0569b171-2a2b-476e-a596-5bdfb45a1327', 'b157e8d6-b7ba-49f4-836f-09886c072f1f']",partner,"Герой твоих детских грёз, гроза мудаков и причина девчачьих слёз.",
40493867182,188232354,AyyItsChevy,497057,Destiny 2,live,GG JUST PLAYED YOU :) - Almost Hard Cap! - !GFuel !Giveaway - !order !merch !Nexus !Rolls,301,2020-11-15T04:03:50Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_ayyitschevy-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'b157e8d6-b7ba-49f4-836f-09886c072f1f']",partner,Just a Gamer trying to Game while providing a nice positive environment for people to come hang out and listen to Jams!,
40487728478,196223499,Tornheln,497057,Destiny 2,live,Beyond Light Time..  Too much to Remember and Too much too forget..  Brain Overload ,271,2020-11-14T22:08:50Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_tornheln-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"Hi i’m Torn , a dad gamer that plays Xbox on my couch and big screen.  I play mainly Destiny but do time to time dabble in other games.  Come say hi and drop a follow if you like 👍🏻 ",
