id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
39716697709,39392583,RyuQuezacotl,1041,Diablo II,live,PD2 SPEEDRUN 1 to 80 -- SINGLE PLAYER -- PLAYERS X -- NECROMANCER,1152,2020-11-15T00:04:23Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_ryuquezacotl-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '7cefbf30-4c3e-4aa7-99cd-70aabb662f27']",partner,Gamer. Streamer.,
40493337422,28379957,MrLlamaSC,1041,Diablo II,live,SERVERS LIVE!!! Rank 1 Amazon - TRADE CITY - PROJECT DIABLO 2 - DAY 7 !rap,922,2020-11-15T03:35:31Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_mrllamasc-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580']",partner,Diablo 2 Speedrunner. Rapper. Positive streamer. Creative Dater. ,
40494640094,67630554,마골,1041,Diablo II,live,행복디아 금폐증상해결 프로젝트디아블로2 PD2,313,2020-11-15T04:46:04Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_achon1004-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],partner,병약한 김마골씨 ,
39990750396,71691082,Kiszak,1041,Diablo II,live,Cała nocka z Project Diablo 2 + NOWE ODZNAKI!,305,2020-11-14T21:01:13Z,pl,https://static-cdn.jtvnw.net/previews-ttv/live_user_kiszak-{width}x{height}.jpg,"['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b', '0cb7e377-a308-44e8-91f7-07eea1d96129', '7cefbf30-4c3e-4aa7-99cd-70aabb662f27']",partner,"Mistrz świata Heroes 3, gamingowy autystyk i człowiek odklejony od rzeczywistości. Pokaż mi grę, a znajdę w niej buga. !kiszak",
40486390814,215126768,DarkHumility,1041,Diablo II,live,[PD2] Servers Back Up New HC Chars! - SP HC - !PD2HCZealer Guardian! !AlmostRip - !PD2 !PD2Gear !Drops !Filter - !CurseAmmy  !BerLo,170,2020-11-14T20:26:48Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_darkhumility-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"I currently stream Vanilla PlugY Diablo II Lord of Destruction 7 Days a Week providing you with a wide variety of Softcore and Hardcore Grail content including all manners of builds, farms, crafting, challenges, data collection, and tests.  In the future I plan to dabble in Diablo II Mods as well. ",
39989644556,50917696,Unkind1baby,1041,Diablo II,live,d2 farm time boyyyyyyyyyyys,169,2020-11-14T19:59:45Z,bg,https://static-cdn.jtvnw.net/previews-ttv/live_user_unkind1baby-{width}x{height}.jpg,['21d85c73-701f-4259-8c4e-4321265847b5'],partner,"Здравейте, аз съм Недялко. Стриймвaм разнообразие от игри.",
40493297870,75065439,BTNeandertha1,1041,Diablo II,live,[PD2] #2 on SC Ladder Lets go! | !YouTube !PD2 !PD2Filter,103,2020-11-15T03:33:28Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_btneandertha1-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"Gamer, Part-Time Streamer, Passionate about Gaming, Community and Friend to all.",
40495255166,60766628,thejunglequeen,1041,Diablo II,live,Project Diablo 2!!! ~~ It Lurks Below Xbox GamePass  ~~ Stream raiders! join us. !sr ~~  !blm ~~ !ILB,93,2020-11-15T05:21:57Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_thejunglequeen-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'cc8d5abb-39c9-4942-a1ee-e1558512119e', 'd0976a7e-26a7-4a48-9225-c522808540f2', 'adb55316-f1ab-4f81-9ff5-17da7719d0ee']",partner,"Husband and wife game developer stream team! Join us while we goof off, chat with viewers, and play games. 'It Lurks Below' now available on Steam, GoG, Xbox and Windows Gamepass! itlurksbelow.com",
39713283549,122256358,Bax_CD,1041,Diablo II,live,PD2 Hardcore Meteor Sorc | !Kaspersky !Youtube !Discord !Taverna,51,2020-11-14T15:35:37Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_bax_cd-{width}x{height}.jpg,"['39ee8140-901a-4762-bfca-8260dea1310f', '8ba227ca-073c-46a7-b3cc-193e52c5ab4d']",partner,"Sempre to por aí jogando um RPGzin, streamando todos os dias aqui na Twitch",
40493466078,241783037,원콩,1041,Diablo II,live,[PD2]season1 HC  서버열였다 오니?!?! 1시원정대 시작,48,2020-11-15T03:42:31Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_wonsame94-{width}x{height}.jpg,"['a1732569-de54-4b75-8a17-07744179f6d9', 'ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4', '96b6073f-450d-4248-8ed4-988e28f3f759']",affiliate,Project Diablo 2 Hardcore user // 1호기 소환드루 졸업 (88레벨 유학)//매일 오후 방송,
40493539790,30858637,Angryaa,1041,Diablo II,live,PD2 HC Golem summoner. Grinding hell cows till my eyes bleed. 490 MF.,37,2020-11-15T03:46:30Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_angryaa-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,Gamer who primarily focuses on playing Path of Exile and similar games in Hardcore mode.,
40494229486,43821138,yesmasterx,1041,Diablo II,live,Project Diablo 2 HC,35,2020-11-15T04:23:25Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_yesmasterx-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"Always faster, never give up untill you succeed.",
39718733085,527854221,bksau5,1041,Diablo II,live,PD2 SUS SQUAD,22,2020-11-15T04:04:42Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_bksau5-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,Casual Pod Guy,
40493293678,421886598,LlordDeSeis,1041,Diablo II,live,PD2 (Hc) может даже уберы,17,2020-11-15T03:33:13Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_llorddeseis-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,,
40494082494,53799283,JuvePr0,1041,Diablo II,live,PROJECT DIABLO 2 - REEEEEEEEEE !gear !discord,16,2020-11-15T04:15:24Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_juvepr0-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"My names Juve and i am a professional gamer with a record of 4 and 1. I am a new and upcoming streamer and without a doubt you will see me  in the UFC, i mean top of Twitch charts. ",
40493916990,163052343,봉처니,1041,Diablo II,live,"[PD2.HC]Hell, It's about time. 올것이 왔군.",15,2020-11-15T04:06:27Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_threebonghho-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],affiliate,게임 잘하는 슽흐리머,
39719104125,446376782,BrickyChungus,1041,Diablo II,live,UBERS UBERS UBERS Running 10+ Sets | SC PD2,15,2020-11-15T05:07:50Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_brickychungus-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,Path of Diablo Content | Slamming Videos | Crafting | Farming | Ladder Pushing,
39718341101,58030860,R0M3R1T0,1041,Diablo II,live,"[Eko] Salio ese proyect Diablo 2?!?!?  se pica??? !EkoCobra
!redes !sonidos !lurk !host",12,2020-11-15T03:12:47Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_r0m3r1t0-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],affiliate,"No insultes a mi silla gamer, nacio asi! Se hace de todo aca asi que pasala bien! ",
40492892718,428197070,tysm8,1041,Diablo II,live,Pd2 - HC - PoD - diablo until AMONG US MAN LES GO,12,2020-11-15T03:11:56Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_tysm8-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,,
40485650590,35967056,Murk_Eye,1041,Diablo II,live,Day 83/365| Stack-Up !Charity in chat| #GKDSchoolForCharity| Wiggles Nation!,11,2020-11-14T19:26:01Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_murk_eye-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '67259b26-ff83-444e-9d3c-faab390df16f', 'bb5e7234-380e-48ad-a59c-03e51274e478']",affiliate,Just a gamer from Michigan trying to follow his dreams.,
40493779614,35600179,RevolverC,1041,Diablo II,live,[!PD2 / HC] Lvl 17 Druid,10,2020-11-15T03:59:34Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_revolverc-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,Playing games high more than likely.,
40489634174,35640032,Amek206,1041,Diablo II,live,Resurgence Mod  HC - 1 Week Race - Bone Necro - !resurgence !armory,10,2020-11-15T00:17:34Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_amek206-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,,
