id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
40484622862,51496027,loltyler1,512980,Fall Guys: Ultimate Knockout,live,MAMMOTH OF MAN CRUSH ! THIS GUY 6'5 ! WOWZERS !!!!,39602,2020-11-14T17:51:11Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_loltyler1-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']",partner,Season 6 Challenger | Most REFORMED Player NA | #1 Draven World ,
40491234862,37402112,shroud,512980,Fall Guys: Ultimate Knockout,live,RIVALS FINALE! | Follow @shroud on socials,25440,2020-11-15T01:46:19Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_shroud-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6', '6f70af0e-2ac0-4939-9ec9-31a770ea1ed3']",partner,I'm back baby,
40483994798,29829912,DrLupo,512980,Fall Guys: Ultimate Knockout,live,KEKW,17398,2020-11-14T16:43:30Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_drlupo-{width}x{height}.jpg,"['6f70af0e-2ac0-4939-9ec9-31a770ea1ed3', '2a14b52e-d459-4c92-be11-5d86b898f6b6', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",partner,"Father, husband, and gamer from the midwest. // Be sure to follow on Twitter, Instagram, and YouTube - @DrLupo. :)",
40489421326,53831996,GrandPOObear,512980,Fall Guys: Ultimate Knockout,live,Glitchcon Rivals ,5965,2020-11-15T00:04:41Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_grandpoobear-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'adb55316-f1ab-4f81-9ff5-17da7719d0ee', '1942f267-26a3-4ee8-9aa0-48cc4aea988e']",partner,"Speedrunner, Pro Shit Talker, Lover, People's  Champion ",
39717356285,82524912,Bugha,512980,Fall Guys: Ultimate Knockout,live,"Twitch Rivals w/ Shroud, DrLupo, Tyler1",2640,2020-11-15T01:20:56Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_bugha-{width}x{height}.jpg,"['24cc3843-e288-43f9-9c35-50fe1571c341', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6', '6f70af0e-2ac0-4939-9ec9-31a770ea1ed3']",partner,Fortnite World Cup Champion | PC Gamer of the Year | Esports Player of the Year,
40488515038,63164470,ANGRYPUG,512980,Fall Guys: Ultimate Knockout,live,GlitchCon Twitch Rivals ,2226,2020-11-14T23:04:54Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_angrypug-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '6f70af0e-2ac0-4939-9ec9-31a770ea1ed3']",partner,"Streaming for over six plus years now. Built my channel with games like Mario Kart, H1Z1, DBD, F13th, Call of Duty, Fall Guys, Phasmophobia  as well as a huge assortment of scary games.  I strive to have the kind of stream where people can just show up, hang out and have some laughs. ",
40487623102,73625408,Kate,512980,Fall Guys: Ultimate Knockout,live,Rivals Super Team  || IG: katestarktv,2146,2020-11-14T22:01:27Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_kate-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '5788eae8-312d-43b5-a0b6-465eda087617', 'f317a85e-495e-4aee-a0d2-0720bd00a6ce', '6f70af0e-2ac0-4939-9ec9-31a770ea1ed3']",partner,video games.,
39717141341,26873423,Morgausse,512980,Fall Guys: Ultimate Knockout,live,GLITCHCON!!,471,2020-11-15T00:57:13Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_morgausse-{width}x{height}.jpg,"['24cc3843-e288-43f9-9c35-50fe1571c341', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '6f70af0e-2ac0-4939-9ec9-31a770ea1ed3']",partner,Winner of PAX West Summer Skirmish.,
39714092925,68292748,Reverse2k,512980,Fall Guys: Ultimate Knockout,live,"GlitchCon Fall Guys w/ Morg, Kate, and Cozy :) // !vid !socials",178,2020-11-14T18:08:20Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_reverse2k-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,,
40490410510,149150226,Official_Cozy,512980,Fall Guys: Ultimate Knockout,live,GLITCHCON LETS GOOO!!! Team Metas! !newvid | !zenni | !tiktok | Sub Goal: 981/1000,156,2020-11-15T01:02:00Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_official_cozy-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '6f70af0e-2ac0-4939-9ec9-31a770ea1ed3']",partner,"Full time Mom and wife, part time streamer! Living the dream!!! ",
