id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
39713142541,193270950,scoped,33214,Fortnite,live,High Kill Solo Arena (24 HR Stream),4870,2020-11-14T14:56:47Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_scoped-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,Professional Fortnite Player// Controller On PC // 16 Years Old,
39717398221,405008403,UnknownxArmy,33214,Fortnite,live,Controlla Scrimma | Code Unkn #Ad,3052,2020-11-15T01:25:43Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_unknownxarmy-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,Controller King,
39713559037,185619753,ops1x,33214,Fortnite,live,arena w unkn and scorecard wagers,2608,2020-11-14T16:38:19Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_ops1x-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,6'2 pro fortnite player for @TSM ,
39716911885,96419668,Heelmike,33214,Fortnite,live,BIRTHDAY STREAM & JOINED G2 ESPORTS | !CLIX !BUGHA G2 ESPORTS,2508,2020-11-15T00:30:03Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_heelmike-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,Its not being cocky. It’s just confidence.,
40488418718,146790215,Replays,33214,Fortnite,live,Fortnite | !apparel | !newvid,2135,2020-11-14T22:58:58Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_replays-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'fd8f5e68-42d3-4544-a273-5fc92dabc568']",partner,,
40494677998,208189351,JustHezzy,33214,Fortnite,live,val for a lil bit,1229,2020-11-15T04:48:15Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_justhezzy-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'c2839af5-f1d2-46c4-8edc-1d0bfbd85070']",partner,come talk about your life and I'll listen,
40489409294,123067038,Arab,33214,Fortnite,live,Duo Arena w/ Borat | !Vlog | YourFellowArab.com,1051,2020-11-15T00:03:56Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_arab-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,23 | Lebanese | Content Machine for @RaisedByKingsGG | Comedian | Inside the Mind Professional Fortnite - Gym - Just Chatting,
40487554574,224539819,AussieAntics,33214,Fortnite,live,Chill Day Gaming | !trick,928,2020-11-14T21:56:52Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_aussieantics-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'eeea68da-c4b8-4268-b17a-eb0f30286843', '8282259b-a997-4c63-b908-24027f64ac9a']",partner,Video Game Content Creator and Commentator/Esports AnalystTwitter - https://twitter.com/AussieAnticsInstagram - https://www.instagram.com/ausantics/Youtube - https://youtube.com/aussieantics,
40492065774,189691390,Squeakz,33214,Fortnite,live,Duo Arena w/ Volx + Facecam (Daily Stream 15/30 ) | OCE | !discord !facecam !socials !deal,928,2020-11-15T02:28:58Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_squeakz-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,,
39711295933,280288990,RaulZitoYT,33214,Fortnite,live,"MELHOR LOJA, APROVEITEM! | FARM 15x - SUB 30x! | LOJA ATUALIZADA | Assista a live e resgate PRÊMIOS! !loja !farm",903,2020-11-14T03:31:26Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_raulzitoyt-{width}x{height}.jpg,"['fd8f5e68-42d3-4544-a273-5fc92dabc568', '39ee8140-901a-4762-bfca-8260dea1310f', '1eba3cfe-51cc-460a-8259-bc8bb987f904', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580']",partner,"Olá, meu nome é RaulZito. O foco da minha stream é muita diversão com vários Games épicos em destaque o FORTNITE. Sempre tento trazer uma gameplay divertida passando pra vocês a minha alegria de fazer o que eu amo que é jogar e animar o público!",
