id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
39713579005,39795492,DavyJones,18846,Garry's Mod,live,RERUN - Spider Man Miles morales até zerar no PS5 e varios outros jogos,1107,2020-11-14T16:42:19Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_davyjones-{width}x{height}.jpg,['39ee8140-901a-4762-bfca-8260dea1310f'],partner,"Bem vindos ao canal do Davy Jones no Twitch, aqui eu faço lives diariamente de diversos jogos como COD Warzone, Eventos de games, Podcasts, GTA V, GMOD e todos os lançamento",
39993754156,82152892,DNSLgames,18846,Garry's Mod,live,to get in show >  connect:  steam://connect/151.80.47.61:27018,623,2020-11-15T05:30:12Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_dnslgames-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,Twitter -      DNSLgames       /     Patreon -    DNSL        /   Youtube -   DNSL,
40489602126,28359336,xyros,18846,Garry's Mod,live,2 years of streaming fun! Playing GMod with Friends!,37,2020-11-15T00:15:34Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_xyros-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', 'd0976a7e-26a7-4a48-9225-c522808540f2', '8bbdb07d-df18-4f82-a928-04a9003e9a7e']",affiliate,"I'm a XIV streamer and variety gamer. Love talking to my viewers, interacting with the crowd, and playing party games!",
39717017069,20281250,TheCalamityCarl,18846,Garry's Mod,live,Scary Murder Traitor Butts | Saturday Night Game Night,25,2020-11-15T00:42:45Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_thecalamitycarl-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"Internet Game Guy. Youtuber/Twitch Streamer. Formerly Euron131. Bi, He/They. Business Email: Euron131 @ gmail",
39717416589,137041509,TheSmashu,18846,Garry's Mod,live,🔴 Jugando [ARG] - [ES/EN] - IBAI ARGENTINO,17,2020-11-15T01:27:50Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_thesmashu-{width}x{height}.jpg,"['d4bb9c58-2141-4881-bcdc-3fe0505457d1', '67259b26-ff83-444e-9d3c-faab390df16f', 'c48e0bf4-7a1b-4ffd-893c-12e46e664f7f', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'e525f885-ccc0-42dd-9b6e-0586f76fdb3c']",affiliate,Hola soy Smashu! hago streams y videos hace algunos años por diversion mientras juego con amigos,
40490443566,144584847,FrownyFox,18846,Garry's Mod,live,Saturday Streaming! Feat. Hungrytrashpanda and friends!,14,2020-11-15T01:03:41Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_frownyfox-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '63e83904-a70b-4709-b963-a37a105d9932', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '353ab6ac-a0ee-404e-9bfa-217446b97718', '79977fb9-f106-4a87-a386-f1b0f99783dd']",affiliate,"Nerd, Gamer, and Coffee Drinker.",
39718718237,176958508,melodyparis,18846,Garry's Mod,live,Jugando mapas Garrys's Mod con el nervios de acero ( Strider 205),7,2020-11-15T04:02:36Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_melodyparis-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],,"hola! quería contar que mi canal se trata mas que nada de Stream gamer y me encanta hacer directos de ellos es lo que mas me gusta, soy cosplayer si quieren saber cuando hago los anuncios de los directos en Instagram ",
40492191966,121666692,GelosTheStrimmer,18846,Garry's Mod,live,"ttt has new maps, also i grabbed all my old stuff so my strim is back to normal",5,2020-11-15T02:35:31Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_gelosthestrimmer-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,,
39718232125,83185477,ThaLogiGuy,18846,Garry's Mod,live,A lil Saturday Spice!!!! GMod and more!,4,2020-11-15T02:59:56Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_thalogiguy-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,"Thanks for Stopping by and reading this thing!! Name's Logan, I am 22, from the east coast and really into gaming. I'm currently in college and decided to have some fun on here in my spare time. I have been a fan of streaming since I was about 14 and decided to try myself. I'll play any game!!!!",
39717891117,492698089,sskircito,18846,Garry's Mod,live,YA TENGO AFILIADO PAA | !comandos !redes !pc !movistar para prime gratis,4,2020-11-15T02:20:34Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_sskircito-{width}x{height}.jpg,"['d4bb9c58-2141-4881-bcdc-3fe0505457d1', 'ac763b17-7bea-4632-9eb4-d106689ff409']",affiliate,"Hago streams variaditos y me gusta charlar con quienes me ven, copate y pasemos un buen rato.",
