id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
40488184670,52763608,GP_TV,493174,Jackbox Party Packs,live,It's A... Funeral? Nah JK it's a birthday.,297,2020-11-14T22:42:22Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_gp_tv-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '6c27ea04-fceb-4a13-8e5e-2c500432c7ff', 'ac763b17-7bea-4632-9eb4-d106689ff409']",partner,Girls Play is a multi girl variety and gaming channel!  Their goal is to bring laughter and positivity to all corners of the internet and to provide a safe space for all walks of life.,
40484143630,80019071,KaseyTheGolden,493174,Jackbox Party Packs,live,Playing with y'all!! |24-HOUR STREAM!!! | GIVEAWAY EVERY 20 SUBS,186,2020-11-14T17:00:05Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_kaseythegolden-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"From dumb doodles, sewing stupid crafts, or the occasional video game... join me for a chill stream and chat with me! November 3, 2020 Partner anniversary! ",
40491482302,59013485,CreepaCreech,493174,Jackbox Party Packs,live,JACKBOX WITH VIEWERS | !social !discord,130,2020-11-15T01:59:15Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_creepacreech-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '8bbdb07d-df18-4f82-a928-04a9003e9a7e']",affiliate,some block man who says dumb things,
40494072638,79619143,EvilNotion,493174,Jackbox Party Packs,live,"Live, From Michigan!  It's Saturday Night Jackbox!",110,2020-11-15T04:14:55Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_evilnotion-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"Come hang out!  Likely playing some Minecraft, or Jackbox Party Pack!  Variety streams.",
40486632446,46871140,Cuda87,493174,Jackbox Party Packs,live,First to kill Dirty wins,66,2020-11-14T20:46:31Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_cuda87-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,You will most likely see me playing some sort of shooter/survival game since those are the games I enjoy/excel at most.  ,
40488105870,71432971,TheRadioMilkman,493174,Jackbox Party Packs,live,COME SEE HOW FUNNY I AM !scare !social !Xbox,62,2020-11-14T22:36:34Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_theradiomilkman-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ffc2deb9-cdac-4d5a-8554-381f165805ca', 'ffc3eb89-13e8-45cb-907f-4d9eb8f32d43']",affiliate,"From the ashes of Mixer, a new champion of Twitch arises like a burning Phoenix in Dairy Queen. The battleground which is Twitch’s salvation is about to get a whole lot of 2%. every gifted sub I'll make an emoji 4 your channel!",
40487763134,77157538,LizardSeagull,493174,Jackbox Party Packs,live,PVP and DRINKS || !raiders !streamloots !youtube !giveaway,50,2020-11-14T22:11:21Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_lizardseagull-{width}x{height}.jpg,"['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '8bbdb07d-df18-4f82-a928-04a9003e9a7e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'cc8d5abb-39c9-4942-a1ee-e1558512119e', 'ac763b17-7bea-4632-9eb4-d106689ff409']",affiliate,"Hey, I'm Liz! I stream EVERY evening for 8 hours! I mostly play Dead by Daylight, with some variety on the weekends. Join Discord for Notifications! Find me everywhere @LizardSeagull",
40491761214,65161083,Sephy_Triaxis,493174,Jackbox Party Packs,live,"YRR Game Night, Jackbox | !team ",48,2020-11-15T02:12:44Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sephy_triaxis-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"hi.  FNM bot... Now trying to learn FN PC & passing time w/ Phasmophobia, Outlast, Among Us, Fall Guys, Crash Bandicoot, COD, Tekken, Lego series games (Harry Potter, Jurassic Park, Pirates of the Caribbean) & more.  Game nights w/ Jackbox & other party games Saturdays. CC for T9  @Tragic9Esports",
40490785342,141022292,Blipo,493174,Jackbox Party Packs,live,Slippy Saturday | Packs 1-7 | !athlete | @BlipoStream,43,2020-11-15T01:22:03Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_blipo-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '9801169b-afa4-4785-890e-53911955e4d7']",affiliate,"Welcome, I'm Blipo. Gaming enthusiast, musician, artist, cat owner, and peace and love advocate. Tune in nightly for variety streams, good times, and lots of love.",
40493831358,71945687,merlinmilk,493174,Jackbox Party Packs,live,BORN DAY STREAM - Streaming Passed Midnight| Community games and Birthday Watch Party Tomorrow | !discord !sfx !uptime ,33,2020-11-15T04:02:01Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_merlinmilk-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '06ab147d-91b6-4c7f-83e4-2b337d2780d5', 'd4461e94-570b-4973-b6a1-3afe026c12ca', '81df4005-f654-40b2-9fc0-9fd767bc8e3e', 'df262ff6-74d1-415b-942c-d584d44426c4']",affiliate,Variety gaming channel!  All chatters are welcome!  Come have fun!,
39714345981,402777695,TharonaShade,493174,Jackbox Party Packs,live,"~ BIRTHDAY STREAM ~ I'm Tharona Birthday bash, and you're invited! | !giveaway | !points | ",33,2020-11-14T18:44:55Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_tharonashade-{width}x{height}.jpg,"['8bbdb07d-df18-4f82-a928-04a9003e9a7e', '52233ce2-9b31-4f67-8b39-12aea5df66bf', '67259b26-ff83-444e-9d3c-faab390df16f', 'cea7bc0c-75a5-4446-8743-6db031b71550', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '011f7c20-f533-4ad1-8093-8c6f8f75bc4c']",affiliate,I am a Drag Performer of 3+ years who recently took to Twitch to show everyone my gaymer side. I aim to create a positive online atmosphere for LGBTQIA+ people and show people you can really be who you want to be wherever and whenever. Who's ready to throw shade?,
40494790846,492148062,YellowsClub,493174,Jackbox Party Packs,live,November Sub Goal 2/20!! ,30,2020-11-15T04:54:51Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_yellowsclub-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,I'm all about interacting with my viewers and making people laugh. Don't be scared to chat! I am a variety player. I love indie and popular games!!,
39718248877,170118956,GreatBriTom,493174,Jackbox Party Packs,live,WIN A PS5 !giveaway today only | Extra Life 2020,29,2020-11-15T03:01:47Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_greatbritom-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'bb5e7234-380e-48ad-a59c-03e51274e478', '3ef3258b-5623-41da-8f5f-169c716a84da']",affiliate,"Where playing games and just chatting have become one. Frequently do giveaways, play games with viewers, and show off titles that have yet to be released! ""It's a good time!"" - IGN, possibly. ""Best stream ever!"" Kotaku, maybe. ""Tom is the best gamer!"" - my mum.!",
40492620510,23172147,Sherizati,493174,Jackbox Party Packs,live,With every follow... MY BRAIN GROWS SMOOTHER! | !napp !discord,27,2020-11-15T02:58:25Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sherizati-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409']",affiliate,"So you wanna know more about Sherizati, eh? Well I've been a gamer practically all my life. I grew up at the very beginning of the 90s with my NES and SNES and building computers with my mom. Now I'm ""grown up"" and I'm a die hard competitive PC gamer who will play anything as long as it's fun.",
40489245102,87536684,Ringtaleferret,493174,Jackbox Party Packs,live,Community night! Starting with Fall Guys then Jackbox and Among Us!!,27,2020-11-14T23:54:48Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_ringtaleferret-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,Come join me for an adventure.  Laid back gamer just having fun and sometimes a swear or two when stuck on a boss. ,
40492799118,245034255,mydaddycan,493174,Jackbox Party Packs,live,Your Twitch Psychologist! | How are you? | Playing games!,27,2020-11-15T03:07:02Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_mydaddycan-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '589c4c39-a3cc-41fa-b70c-bf0b735fa21f', '62bc5436-6f91-446d-9651-da008da4e4bb', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e']",affiliate,"Hi :) I'm a daddy to two little girls and a little boy, I have an amazing and gorgeous wife whom I love dearly, and I love to game! I'm a clinical psychologist with a mission to pass along good vibes, to be helpful to viewers, and to teach others how to be helpful to the people in your own lives.",
40491512862,205379386,xoMoVoxo14,493174,Jackbox Party Packs,live,MoVo Who?,25,2020-11-15T02:00:33Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_xomovoxo14-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ac763b17-7bea-4632-9eb4-d106689ff409']",affiliate,"do what you love. even if you suck. To quote Michael, ""i.know.nothing.""",
40490097518,27401152,ScrapBrainSC2,493174,Jackbox Party Packs,live,Jackbox Discord Night! Among Us later?,25,2020-11-15T00:44:54Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_scrapbrainsc2-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,Hey there! Thanks for checking out my channel! I have stream highlights that go directly to youtube.com/ScrapBrainSC2 so be sure to check them out there!We are a growing channel and have a recurring Jackbox Party Night Wednesdays at 7 PM CT. Hope you can join us! It's a great time.,
40494807454,58023033,SubtleStorm_tv,493174,Jackbox Party Packs,live,Saturday Night Jackbox Party! All Welcome :D,24,2020-11-15T04:55:45Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_subtlestorm_tv-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,I'm just a guy that loves playing video games.,
40492929854,58746554,Virosa,493174,Jackbox Party Packs,live,Can't go to bars? No problem - lets have a game night :D,24,2020-11-15T03:13:50Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_virosa-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,,
40492502750,162829426,itsJuss4,493174,Jackbox Party Packs,live,short stream! Jackbox and maybe some Pokemon Colosseum? ,23,2020-11-15T02:52:14Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_itsjuss4-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,,
39716253517,421616619,KnightNWreckz,493174,Jackbox Party Packs,live,Jackboxing it up with the crew!,23,2020-11-14T23:07:41Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_knightnwreckz-{width}x{height}.jpg,"['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', 'd4461e94-570b-4973-b6a1-3afe026c12ca', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",affiliate,"I'm Knight! A father, woodworker, and gamer. This is a family friendly channel where I play a variety Swicth/PS4/PC games.  My six y/o son T-Wreckz will randomly join me for some co-op fun on stream too! **ON TEMPORARY HIATUS**",
39716197261,92297944,TheWorstHeroes,493174,Jackbox Party Packs,live,"🎉🎉Birthday Stream🎉🎉 (part 1) - Discord VC - Final Fantasy IV, mutliplayer later? -  Bday Bit Alerts!",23,2020-11-14T23:00:42Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_theworstheroes-{width}x{height}.jpg,"['6c27ea04-fceb-4a13-8e5e-2c500432c7ff', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",affiliate,"Welcome to Worst Heroes! I am your host, Brandon! I will take on the world of video games! I often join some of my friends on their streams, my streams tend to go for more of a chill time. so sit back and enjoy and feel free to say hi!",
40494970174,73019318,Mayztaa,493174,Jackbox Party Packs,live,Did you sign your permission slip?,23,2020-11-15T05:04:46Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_mayztaa-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'cc8d5abb-39c9-4942-a1ee-e1558512119e', '8bbdb07d-df18-4f82-a928-04a9003e9a7e', 'ac763b17-7bea-4632-9eb4-d106689ff409']",affiliate,Just trying to make funnies,
40488825470,221951073,TheIvoryTowers,493174,Jackbox Party Packs,live,🎉🎉JackBox PNP🎉🎉 with Ivory Towers & Helena Poison  !discord | new emotes and point redeems |,22,2020-11-14T23:26:42Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_theivorytowers-{width}x{height}.jpg,"['011f7c20-f533-4ad1-8093-8c6f8f75bc4c', '8bbdb07d-df18-4f82-a928-04a9003e9a7e', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",affiliate,Toronto’s video game playing drag queen!,
40492808718,197011173,Gizm0G,493174,Jackbox Party Packs,live,Jackbox party packs with viewers!,22,2020-11-15T03:07:30Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_gizm0g-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,E,
40490258702,23921627,TheJamesKz,493174,Jackbox Party Packs,live,We Like to Party,21,2020-11-15T00:54:25Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_thejameskz-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '31866a92-269d-4df3-a2fb-58081bf97378', '8bbdb07d-df18-4f82-a928-04a9003e9a7e', 'ffc2deb9-cdac-4d5a-8554-381f165805ca', '13c95a9e-a17d-4225-b199-d08cb8e66f40', 'ac763b17-7bea-4632-9eb4-d106689ff409']",affiliate,I love gaaaames.,
40489643358,24441873,YokuoX,493174,Jackbox Party Packs,live,Jackbox! 3-6 www.jackbox.tv | !challenge | NEW MERCH AVAILABLE! !merch,20,2020-11-15T00:18:07Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_yokuox-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,I stream Super Mario Maker 2 and some other fun stuff. Give me a follow to catch my streams live!,
39718293661,54611748,Steelwolf34,493174,Jackbox Party Packs,live,Jackbox Party Packs,20,2020-11-15T03:07:01Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_steelwolf34-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,,
40495554542,168123318,lisakater,493174,jackbox party packs,live,[AUS/OCE] New Sims Expansion :D ,20,2020-11-15T05:40:45Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_lisakater-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"Hiya my name is Lisa (you can call me Lis), I'm an Australian  that loves to play games and spread positivity. Come swing by a stream and say Hi anytime. ",
