id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
39718784237,47071880,YoDa,21779,League of Legends,live,DESBUGANDO O HORARIO. STREAM ATE UMAS 14,12130,2020-11-15T04:12:24Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_yoda-{width}x{height}.jpg,['39ee8140-901a-4762-bfca-8260dea1310f'],partner,ACHE O N - FOMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM,
40490950974,31106024,lilypichu,21779,League of Legends,live,one game of league,9826,2020-11-15T01:31:06Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_lilypichu-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '1c628b75-b1c3-4a2f-9d1d-056c1f555f0e', 'dfa7dd87-18b5-47db-b7b7-bdb1ef69547c', '51529054-5baf-493e-8961-2a43e4d0c6ac', '6f70af0e-2ac0-4939-9ec9-31a770ea1ed3']",partner,hi ,
39717166221,143891036,Smurfdomuca,21779,League of Legends,live,DANDO AULA DE LIGA DAS LENDAS PARA LEIGOS,5074,2020-11-15T00:59:57Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_smurfdomuca-{width}x{height}.jpg,['39ee8140-901a-4762-bfca-8260dea1310f'],partner,Challenger mono karthus jg since s5,
40493213230,29722828,NeVeR_LosEs,21779,League of Legends,live,11/15 KR LOL,4853,2020-11-15T03:29:04Z,zh,https://static-cdn.jtvnw.net/previews-ttv/live_user_never_loses-{width}x{height}.jpg,['74c92063-a389-4fd2-8460-b1bb82b04ec7'],partner,"TaiWan Server ID : yoeFW NL / NeVeR_LosEs ~~ S3 Challenger , main AD 有問題會盡量回答 喜歡的話請按追隨唷!",
40490710958,186924307,Spicalol,21779,League of Legends,live,TSM Spica - tank gaming !blitz,4138,2020-11-15T01:17:57Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_spicalol-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,,
40493310654,29826549,逼比,21779,League of Legends,live,[JT BeBe] 1115,2581,2020-11-15T03:34:06Z,zh,https://static-cdn.jtvnw.net/previews-ttv/live_user_bebelolz-{width}x{height}.jpg,['74c92063-a389-4fd2-8460-b1bb82b04ec7'],partner,曾是TPA的隊員擔任下路AD位置亦奪S2世界冠軍，擅長的位置是AD，現已退役。,
39714814301,48898260,pijack11,21779,League of Legends,live,É ELE,2467,2020-11-14T19:46:30Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_pijack11-{width}x{height}.jpg,['39ee8140-901a-4762-bfca-8260dea1310f'],partner,,
39717046029,36511113,tinowns,21779,League of Legends,live,MADRUGATIN !! Descobrindo a pré-season,2279,2020-11-15T00:46:20Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_tinowns-{width}x{height}.jpg,['39ee8140-901a-4762-bfca-8260dea1310f'],partner,Jogador profissional de League of Leagends pela Pain Gaming,
40489459630,115659124,Sanchovies,21779,League of Legends,live,riven day 6 learnings mearnings,2005,2020-11-15T00:06:53Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sanchovies-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '6f70af0e-2ac0-4939-9ec9-31a770ea1ed3']",partner,Hey :] ,
39717092093,129469149,keiozin,21779,League of Legends,live,"sem cam/submode, troco ideia com vcs na queue (testando itens)",1934,2020-11-15T00:51:37Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_keiozin-{width}x{height}.jpg,['39ee8140-901a-4762-bfca-8260dea1310f'],partner,,
