id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
40490500414,26154978,Sykkuno,27471,Minecraft,live,chill minecraf day,36199,2020-11-15T01:06:33Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sykkuno-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'c2839af5-f1d2-46c4-8edc-1d0bfbd85070']",partner,Hi ! ,
40492783534,46673989,Masayoshi,27471,Minecraft,live,YERRRRRRRRRRRR,5416,2020-11-15T03:06:15Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_masayoshi-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,a gamer just trying to game,
39716288701,42177890,Natsumiii,27471,Minecraft,live,furnishing my penthouse :3,2201,2020-11-14T23:12:11Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_natsumiii-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '67259b26-ff83-444e-9d3c-faab390df16f']",partner,Hi I'm Wendy :) We just tryna chill and have a good time in here. ,
39716482093,52028814,BaboAbe,27471,Minecraft,live,We need to go deeper... | FTB Revelation,2074,2020-11-14T23:37:38Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_baboabe-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,What ya lookin for?,
40493834478,526763937,kkatamina,27471,Minecraft,live,chill day~,1604,2020-11-15T04:02:12Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_kkatamina-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,,
39980911772,138310362,chefstrobel,27471,Minecraft,live,"24 STUNDEN STREAM! Bei 300 Subs ""Bestrafung"" | !prime !levlup",1224,2020-11-14T09:54:30Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_chefstrobel-{width}x{height}.jpg,['9166ad14-41f1-4b04-a3b8-c8eb838c6be6'],partner,"Was soll ich sagen, Chef einfach B-) ",
40491172702,62510206,AriaSaki,27471,Minecraft,live,Yo0o0o0oooooooooooooooooo | FTB Revelations Mod pack,1216,2020-11-15T01:43:00Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_ariasaki-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"I cook, watch anime, play games, and design clothing :)",
40494499934,137722246,루태,27471,Minecraft,live,"위더 100마리 잡기 숙제중 ㅜ,ㅜ",384,2020-11-15T04:38:08Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_rutaey-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],partner,안녕하세요 루태입니다!,
39717600301,168556281,Brocolis_Picante,27471,Minecraft,live,tamo de volta com hardcore rapeize - !discord !bttv !prime,378,2020-11-15T01:48:36Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_brocolis_picante-{width}x{height}.jpg,['39ee8140-901a-4762-bfca-8260dea1310f'],affiliate,"Bom dia  / tarde / noite, resumidamente, aqui na Twitch sou conhecido como Brócolis, gosto de jogar qualquer coisa (mas principalmente minecraft), e no meu tempo livre eu também ouço muita música (minha banda favorita é Gorillaz), ia escrever mais, mas os 300 caracteres acabaram...",
40493516366,139324500,sakonoko_game,27471,Minecraft,live,おやこマイクラ。,353,2020-11-15T03:45:17Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_sakonoko_game-{width}x{height}.jpg,['6ba1d230-e52f-4d81-b1e0-41f25a8a9f5d'],partner,"格闘ゲームを中心に活動しているプロゲーマーsakoのチャンネルです。ゲーム全般が大好き。妻のakikiも配信します。This is Professional gamer ""FAV|sako"" and his wife ""akiki"" stream channel.Please FOLLOW ME! ",
39712609389,179540563,LoveTropics,27471,Minecraft,live,Late Night LoveTropics with Rushmead! Raising $$ for Oceana. !donate,327,2020-11-14T09:03:39Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_lovetropics-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '9458de4e-6d35-422a-84a9-f243a49c212e', 'bb5e7234-380e-48ad-a59c-03e51274e478']",affiliate,"Love Tropics is a weekend-long charity livestream marathon that brings the gaming community together to raise money and awareness around important causes facing the planet, with a focus on the tropics.",
40489360814,165785,Generikb,27471,Minecraft,live,Craft To Exile 1.15 modpack! Bits/Subs/Tips = BOARS ARE BACK BABY!!!,319,2020-11-15T00:01:19Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_generikb-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"Livestream of Generikb, the Minecraft Hermit!  http://www.youtube.com/generikb",
40493112302,36156571,BoomerNA,27471,Minecraft,live,🐸 BoomerNA 🐸 ⚬ the vibes are unreal ⚬ !discord ⚬ Twitter @BoomrNA,276,2020-11-15T03:23:37Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_boomerna-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"I’m a funny, insanely good looking (not balding) streamer who is insane (i actually suck) at Minecraft. I'm also a very pogchampion astroking on League of Legends with Kindred.",
40491155934,24387393,SpaceHamsterTFG,27471,Minecraft,live,Minecraft ,221,2020-11-15T01:42:06Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_spacehamstertfg-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,I made a Youtube video once.,
39993661260,402162586,AxelLarsen,27471,Minecraft,live,SPEEDRUN RANDOM SEED,181,2020-11-15T04:14:06Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_axellarsen-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '7cefbf30-4c3e-4aa7-99cd-70aabb662f27']",partner,"I'm Axel and I mainly speedrun Ocarina of Time 100%, I love interacting with chat so don't be afraid to join in! ",
40488045998,22856032,PauseUnpause,27471,Minecraft,live,Super Speedy Saturday,181,2020-11-14T22:32:11Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_pauseunpause-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '7cefbf30-4c3e-4aa7-99cd-70aabb662f27']",partner,Just your average gamer who enjoys making YouTube videos and livestreaming.,
40494599870,266674063,nyannyancosplay,27471,Minecraft,live,💛💛Late-night TipsyCrafty | !drink for info to get us to drink💛💛,180,2020-11-15T04:43:43Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_nyannyancosplay-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '8bbdb07d-df18-4f82-a928-04a9003e9a7e', 'c2839af5-f1d2-46c4-8edc-1d0bfbd85070']",partner,lvl. 21 | Cosplayer and gamer?! | Spread Love 💛,
39993671020,146875628,Martin_Sal,27471,Minecraft,live,OBSCURE DANK FALLING FUCC DOOMER EDGELORD PLATINUM PLUS ,160,2020-11-15T04:21:09Z,it,https://static-cdn.jtvnw.net/previews-ttv/live_user_martin_sal-{width}x{height}.jpg,['5b9935eb-1e9a-4217-98ad-62bda5cff0d1'],partner,Ciao,
39713610301,36023315,Terahdra,27471,Minecraft,live,24hr stream! - Minecraft Community Server Day 1! - !feedback !sellout !schedule !cohhraid !subgoal !ads,160,2020-11-14T16:48:22Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_terahdra-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '67259b26-ff83-444e-9d3c-faab390df16f', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '96b6073f-450d-4248-8ed4-988e28f3f759', 'a31daeb5-edc2-4b29-afa1-84c96612836d', 'ac763b17-7bea-4632-9eb4-d106689ff409']",partner,I am a variety streamer that likes to focus on RPG/Adventure and Simulation gaming. I enjoy chat's involvement in everything that I do and try to interact with them as much as possible.  Give me 30 minutes of your time and I guarantee that I can make you a follower for life.,
40494399406,218950114,Moonzy_Cat,27471,Minecraft,live,my friend is forcing me to do math homework while I play minecraft wtf :((,160,2020-11-15T04:32:33Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_moonzy_cat-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '8bbdb07d-df18-4f82-a928-04a9003e9a7e']",affiliate,"Hi hi Moonzy here! Streaming is really fun, make sure to follow and join our family :) thank you for 29k, u guys r awesome 💖 ",
