id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
40486843726,23946146,DolphinChemist,505705,Noita,live,Saturday To-Do List: (1) New Emote Slot (2) Beat Noita,732,2020-11-14T21:02:15Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_dolphinchemist-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '69318d09-f132-4853-b4b6-09a0580f7092']",partner,Streaming Nightly at 7PM ET :: No Jabronis,
40489981806,46029485,Disnof,505705,Noita,live,33 Orb Run Day 3!,548,2020-11-15T00:38:00Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_disnof-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,I love to play competitive games. But some times i just like to play chill games =),
40494396558,241636,DunkOrSlam,505705,Noita,live,665+ Wins! Weekend Noita is THA BEST-- !youtube for new channel,222,2020-11-15T04:32:24Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_dunkorslam-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,I play games.,
40493944878,159259410,McQueeb,505705,Noita,live,Chat picks my perks 😐 Beard of Fortune returns!,181,2020-11-15T04:07:56Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_mcqueeb-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '81df4005-f654-40b2-9fc0-9fd767bc8e3e']",partner,"Roguelike streamer, has beard.",
39984697356,141186509,DFazouro,505705,Noita,live,12h+ 🌟[ NG+4 and counting Run]🌟 ,25,2020-11-14T15:12:37Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_dfazouro-{width}x{height}.jpg,"['77223888-8535-4614-974b-b1b2673456eb', '2fd30cb8-f2e5-415d-9d42-1316cfa61367', '3c0a4e1f-6863-4dad-bb4e-538326306bef', '396aee63-bb8a-43c4-95da-98fca08e144b', 'a31daeb5-edc2-4b29-afa1-84c96612836d', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",affiliate,"Lois ""DFazouro"" es un jugador semiprofesional de ""Just Chatting"" y de ""Marbles on Stream"", entre sus logros se hallan el ""Mayor número de pedos y eructos en un directo 2019"", así como la partida de Marbles del otro día en el canal de un amigo.Mi meta es construir el mayor imperio de internet.",
39993297308,73587969,bammalam,505705,Noita,live,33 Orbs in NG+ - Another Day in the Mines - i wand to break free,21,2020-11-15T01:22:08Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_bammalam-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"Playing Computer Games and Music Instruments since my childhood. I love handmade music like most of the rock stuff out of the 60's and 70's.I'm an open book, if you have a question don't be shy and ask",
40493685550,198089775,BizarroLongy,505705,Noita,live,No-itea what i'm doing right now...,19,2020-11-15T03:54:36Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_bizarrolongy-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"Howdy ya'll! I'm BizarroLongy, if you're into either: a) Ridiculous giggling or b) Gamer rage. Well boy howdy am I the guy for you :D",
40492377310,139556986,HeadBanditKillian,505705,Noita,live,Noita then maybe Phasmophobia.,15,2020-11-15T02:45:37Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_headbanditkillian-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,I wear bandanas and headbands and I like to stream games on twitch. I enjoy playing solo or with friends and joke around and have fun.,
39982436124,136355083,mio_ry,505705,Noita,live,MIO ry Hyväntekeväisyysviikko part 5. 24h Finaali,10,2020-11-14T12:31:16Z,fi,https://static-cdn.jtvnw.net/previews-ttv/live_user_mio_ry-{width}x{height}.jpg,"['220eb274-ab25-425b-8a9b-826103404997', 'bb5e7234-380e-48ad-a59c-03e51274e478']",,,
39717600477,143729677,MrYQuestionMark,505705,Noita,live,NOITA WITH CHAT INTERACTION AND CHILL | !discord !twitter !Flex ,8,2020-11-15T01:48:38Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_mryquestionmark-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '67259b26-ff83-444e-9d3c-faab390df16f']",affiliate,JEFF PROTECTS HIS VIEWERS,
40494916110,129957870,chanezumi,505705,Noita,live,RPGなのかローグなのか,6,2020-11-15T05:01:43Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_chanezumi-{width}x{height}.jpg,['6ba1d230-e52f-4d81-b1e0-41f25a8a9f5d'],affiliate,,
40494737262,468704830,콘도르_,505705,Noita,live,노캠 노마이크 혼겜,5,2020-11-15T04:51:42Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_condor94_-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],affiliate,재미있었습니다,
39993562924,39906986,UlfTheWolf,505705,Noita,live,Noita Pog | !discord,5,2020-11-15T03:08:11Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_ulfthewolf-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"I'm Ulf and I am a freelance artist for Emotes, OBS Scenes and animations. I usually stream League of Legends on here, sometimes other stuff as well.",
40492695198,148827960,toadknightgaming,505705,Noita,live,Today is the Day WE WIN!,5,2020-11-15T03:01:52Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_toadknightgaming-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '6606e54c-f92d-40f6-8257-74977889ccdd', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', 'd0976a7e-26a7-4a48-9225-c522808540f2', '8ba227ca-073c-46a7-b3cc-193e52c5ab4d']",affiliate,I am on a mission to complete as many games as possible throughout 2020/2021 type !showcase to see how many games have been completed so far! Come hang out and enjoy the show! Click that follow button and ToadKnightGaming will not let you down!,
40491928478,132302919,curiouspeanut,505705,Noita,live,peepoMagician,4,2020-11-15T02:21:35Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_curiouspeanut-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'c9193f35-a88f-4f03-af99-b73fe0db60f3', 'aa971bdc-a28d-4a33-a686-f112c764e73b', '2bc53bf2-3abb-42ec-949f-ca50f60d1022', 'e03c93a4-74ae-4358-8b3c-8189e5a1fbec', '07a1b526-3725-4ba5-8c53-efaad4941fb9']",affiliate,I’m just a guy. Souls Slowrunner. I like to ask questions & my outer shell is salty Wowee,
40493490286,560927825,ComicalWheel543,505705,Noita,live,NOITA. vote to help or kill me,3,2020-11-15T03:43:54Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_comicalwheel543-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,Bread,
40494215118,163615012,DomBingo,505705,Noita,live,Time to die some hilariously horrible deaths,3,2020-11-15T04:22:38Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_dombingo-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,Also known as JavaLatte.  I play a bunch of stuff!  If you want me to play something specific don't hesitate to ask.,
40484934894,91690315,Zpogs,505705,Noita,live,10 HOUR STREAM (DONO EXTENSIONS & GOALS),3,2020-11-14T18:20:44Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_zpogs-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '67259b26-ff83-444e-9d3c-faab390df16f', 'a31daeb5-edc2-4b29-afa1-84c96612836d', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e']",affiliate,Your Mom's Favorite Streamer,
39717768173,183528761,RawkhawktheHawk,505705,Noita,live,Noita,2,2020-11-15T02:06:59Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_rawkhawkthehawk-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,,
40490169390,45014028,Sarcastic_Friend,505705,Noita,live,Honk,2,2020-11-15T00:49:12Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sarcastic_friend-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '96b6073f-450d-4248-8ed4-988e28f3f759', '69318d09-f132-4853-b4b6-09a0580f7092']",affiliate,Someone remind me to put something here later,
