id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
39718401741,43374723,Girbeagly,9618,Pokémon Trading Card Game,live,belated birthday stream (w/!morgan) | !speakup !blm,1852,2020-11-15T03:20:19Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_girbeagly-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,www.youtube.com/Girbeagly,
40495450654,41244221,SparcMac,9618,Pokémon Trading Card Game,live,Sparc Mac - Charizard Hunt Bonus !raid,474,2020-11-15T05:34:09Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sparcmac-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,Hey whats up guys its Tim!,
40489732638,483659438,LoneStarPokemonbreaks,9618,Pokémon Trading Card Game,live,Nov 14th Sat NIght NEW SET Release!! Group Breaks!! ALL Vivid Voltage coming at ya with the RR CHU i know you all want!!! ;D,187,2020-11-15T00:23:33Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_lonestarpokemonbreaks-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,,
40495185422,20048794,Sinvicta,9618,Pokémon Trading Card Game,live,SHINING LEGENDS PACKS!,167,2020-11-15T05:17:37Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sinvicta-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,The Official Twitch Channel of Sinvicta and home of The Mosh Pit!,
40491544046,99999896,ThePokeMedic,9618,Pokémon Trading Card Game,live,"!Menu !Giveaway Packs for sale! Evolutions, Hidden Fates, Champions Path, Vivid Voltage! Booster Box Giveaway at 250 SUBS & 500 FOLLOWERS!",154,2020-11-15T02:01:59Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_thepokemedic-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"HI my name is Nick, I live in Michigan. I stream Pokemon Pack breaks, Play Competitive TCG card game Live/online and tons of other games via pc and xbox one.  Make sure you hit that subscribe button to see all the great pulls, deck strategies, tips, tricks and fun times just chilin gaming!",
40495336574,64201311,mikemo_capaldi,9618,Pokémon Trading Card Game,live,EMERGENCY STREAM: Found last box of Champions Path at Walmart,131,2020-11-15T05:27:09Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_mikemo_capaldi-{width}x{height}.jpg,"['c2839af5-f1d2-46c4-8edc-1d0bfbd85070', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",affiliate,Skateboarder that really sucks at video games. Chuck The Sailor is my alter ego.,
40494437038,504421498,Sugoi_Stream,9618,Pokémon Trading Card Game,live,VIVID $5 and tons more! !shop !gym !buycodes,87,2020-11-15T04:34:36Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sugoi_stream-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'cd9ed640-426d-4a08-b8e0-417a61197264']",affiliate,"We're all about open Pokemon cards, and having fun doing it! We play games, we give out prizes, AND we open Pokemon cards with likeminded fans. Join us?",
40491959614,65430925,A4Andre,9618,Pokémon Trading Card Game,live,"Champs, Vivid, EVO, HF I got you!",79,2020-11-15T02:23:15Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_a4andre-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"A4 is an army of gamers/streamers who play games (Mainly Fighting games) with the intent of competing and having fun! We teach and train each other, hold tournaments and compete at majors.",
39717413021,158219351,RaidensReign,9618,Pokémon Trading Card Game,live,"Pokemon Live Breaks! We are Loaded! !shop Vivid Voltage 6.50, Rebel Clash 5, Evo 9.75, Darkness Ablaze and more!!",57,2020-11-15T01:27:25Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_raidensreign-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"Hey everyone! I play shooters, RPG games and Retro stuff! ",
40494482910,551768764,PokeBroTrainers,9618,Pokémon Trading Card Game,live,"Saturday Night! MYSTERY BOXES, Vivid Voltage Group breaks and Personal Breaks Available!
!store !groupbreak !giveaway",37,2020-11-15T04:37:04Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_pokebrotrainers-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'cd9ed640-426d-4a08-b8e0-417a61197264', '6606e54c-f92d-40f6-8257-74977889ccdd']",affiliate,We are here to create a community for  Pokemon TCG enthusiasts. Come make friends and hang out while we add to our collection or help you add to yours.  For TCG personal/Group breaks please visit our store.  ,
