id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
40490504526,12855851,Macaw45,27284,Retro,live,NES games... including some from my childhood I never finished,661,2020-11-15T01:06:46Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_macaw45-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,Cool Old Games,
40470452046,918616,cardfrek,27284,Retro,live,Game Center CX - 24/7 Kacho !schedule,235,2020-11-13T22:03:56Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_cardfrek-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'e027fb8b-219e-4959-8240-a4a082be0316']",,Why are you looking here? Look up ^^^^ there at the stream.,
39717258477,3286344,PeteDorr,27284,Retro,live,eBay Game Hunting - how are you enjoying your PS5's & Xbox's?,199,2020-11-15T01:09:30Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_petedorr-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '64d9afa6-139a-48d5-ab4e-51d0a92b22de', 'e027fb8b-219e-4959-8240-a4a082be0316', 'cea7bc0c-75a5-4446-8743-6db031b71550']",partner,"I’m a variety streamer specializing in super weird and obscure games played on consoles from any generation, any genre, all on original hardware. Currently focusing on PS5 and Xbox Series X streams for November.",
40493374990,22689139,Cthulhu_the_3rd,27284,Retro,live,I both need and demand more blast processing,172,2020-11-15T03:37:35Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_cthulhu_the_3rd-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"Welcome to Gaming with Cthulhu, featuring classics on the NES, SNES, Genesis, and more.",
39718816253,154786659,erin_plays,27284,Retro,live,Sailor Moon Another Story (Super Famicom) English fan translation ✨,161,2020-11-15T04:17:15Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_erin_plays-{width}x{height}.jpg,"['e027fb8b-219e-4959-8240-a4a082be0316', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '96b6073f-450d-4248-8ed4-988e28f3f759']",affiliate,"Hi! I'm Erin and this is my Twitch channel where I will be streaming mostly retro games, but don't be surprised if modern games pop up from time to time :D",
39718908253,81852771,Sharpie,27284,Retro,live,#1027 ~ Battle Frenzy (CD) (BONUS) (BONUS) ~ SEGA Crusade (98.46%) ~ Genesis ~ Console Challenge on Big OG Hardware,116,2020-11-15T04:31:57Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sharpie-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', 'c9193f35-a88f-4f03-af99-b73fe0db60f3', '81df4005-f654-40b2-9fc0-9fd767bc8e3e', '8a01ea18-df97-4046-9cff-a9a822bb96e5', '69318d09-f132-4853-b4b6-09a0580f7092']",partner,SEGA in the 90's! \o/,
39705587709,272193272,SpeedrunHypeTV,27284,Retro,live,TAS & Longplay Variety Stream (NES/SMS/GG/GB/SNES/GENESIS/TG-16/PSX/SATURN/WII) ,99,2020-11-13T14:27:06Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_speedrunhypetv-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'e027fb8b-219e-4959-8240-a4a082be0316', '7cefbf30-4c3e-4aa7-99cd-70aabb662f27', '0b83a789-5f6a-45f0-b6a3-a56926b6f8b5']",partner,"24/7 Retro & Modern Gaming Channel 👾🎮 Chat about awesome games, watch live races, and learn during live speedrun sessions! Follow us now 💟",
39718709149,175451377,sagavania,27284,Retro,live,Noche random termino FFXV y luego juegos Arcade!,87,2020-11-15T04:01:18Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_sagavania-{width}x{height}.jpg,"['fd8f5e68-42d3-4544-a273-5fc92dabc568', '36b47e6e-6cdf-46fa-a85e-bd18a64af7ad', 'e027fb8b-219e-4959-8240-a4a082be0316', '6606e54c-f92d-40f6-8257-74977889ccdd', 'd4bb9c58-2141-4881-bcdc-3fe0505457d1']",partner,Soy Saga y hago varios streams con juegos retro pero tambien algunos actuales!!! Hacemos torneos online y hablamos sobre conspiraciones,
40494806238,41820329,roopert83,27284,Retro,live,Pentathlon 100% Speedrun !merch !dogfood,79,2020-11-15T04:55:41Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_roopert83-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'e659959d-392f-44c5-83a5-fb959cdbaccc', '7cefbf30-4c3e-4aa7-99cd-70aabb662f27']",partner,Classic 2D Mario Speedrunner.Southern accent.,
40492406414,126319168,JSR_,27284,Retro,live,Post Race Shenanigans -- Play along with Community Feud!,73,2020-11-15T02:47:13Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_jsr_-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"Do you like speedruns?  Randomizers?  Retro games and let's plays?  Casual play?  An amazing community? Well then, you're in the right place! The best part of this community is here now: it's YOU! Join the JSR_ community now!",
