id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
40489846686,25867769,MixelPlx,490377,Sea of Thieves,live,Brig Stacking with the Crew // Juicy PvP // !yt !discord,490,2020-11-15T00:30:10Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_mixelplx-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"Full-time Livestreamer and Content Creator focusing on games genres such as Sandbox, MMO's, and ARPG's! Welcome to the channel and enjoy your stay with the Cringe Fam!",
40488930238,39202674,AweCoop,490377,Sea of Thieves,live,Sloop PvP (!Giveaway) (!Merch) (!YT) (!Sneak) (!JackBlack) (!Rox),211,2020-11-14T23:33:44Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_awecoop-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '8486f56b-8677-44f7-8004-000295391524', '79977fb9-f106-4a87-a386-f1b0f99783dd', 'bb5e7234-380e-48ad-a59c-03e51274e478']",partner,"Father, Husband, Gamer, and  Sometimes I Poop",
40493678286,218121751,ShockwaveZ3R0,490377,Sea of Thieves,live,🏴Solo PvP 100% For Charity🏴 Later - Axiom Verge,110,2020-11-15T03:54:10Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_shockwavez3r0-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '8486f56b-8677-44f7-8004-000295391524', 'bb5e7234-380e-48ad-a59c-03e51274e478']",partner,"Shockwave is a Sea of Thieves + Variety streamer. In Sea of Thieves he plays as a ruthless, cutthroat pirate that sails solo and attacks every other ship on sight with the goal of stealing as much loot as possible!",
40488019582,115549477,I_AM_Scorer,490377,Sea of Thieves,live,"⚔ Drunken Sailor ⚔ 
!discord | !socials",84,2020-11-14T22:30:17Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_i_am_scorer-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '79977fb9-f106-4a87-a386-f1b0f99783dd', '8486f56b-8677-44f7-8004-000295391524']",affiliate,My name is Scorer! Come Grab a Brew and You Do You! ,
40493882638,73840282,Bast_50,490377,Sea of Thieves,live,[EN/FR] 6 Year Streamaversary Marathon Part 2! #QC,53,2020-11-15T04:04:37Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_bast_50-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e']",partner,"Welcome to the Loot Cave, I stream a lot of games from many different genres and we stash everything we get in the Loot Cave where its heavily guarded by Ninja Cats and a dog.",
40492360622,60207418,Quantifiable,490377,Sea of Thieves,live,The best Pirate out there,50,2020-11-15T02:44:42Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_quantifiable-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,I'm probably a mod in that chat.,
40490379438,473747270,SlothyBearr,490377,Sea of Thieves,live,♡ Surpirse Staurday SOT Stream! Sailin' with a couple babes @Mrs480 & @TatooineQueen!! ♡ !discord ♡ ,43,2020-11-15T01:00:35Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_slothybearr-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"♡ Baby don’t worry about a thing, every little thing is gonna be alright! ♡",
40490009214,52058898,WonderingRaven,490377,Sea of Thieves,live,SoT Shenanigans,40,2020-11-15T00:39:37Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_wonderingraven-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '8486f56b-8677-44f7-8004-000295391524', '8bbdb07d-df18-4f82-a928-04a9003e9a7e', '67259b26-ff83-444e-9d3c-faab390df16f']",affiliate,Entrepreneur | Tokyo Drifter | InfoSec & Computer Engineer | Podcaster | Hacker | Vegas Born & Raised,
39718165965,206943794,GayMerGirlSammie,490377,Sea of Thieves,live,"Captain Sammie Stormfish, at your service! || !mm !loots",32,2020-11-15T02:51:54Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_gaymergirlsammie-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '8bbdb07d-df18-4f82-a928-04a9003e9a7e']",affiliate,"Legendary Pirate Sammie, at your service. - Affiliate || Pepsi Drinker || Naptime enthusiast || Trash Panda || Mischief Manager || MM Little Sister",
39717176525,400084613,n3rd_heard,490377,Sea of Thieves,live,Mythy Haul with our Stream Papa @MythicalFood | Giveaway at the end! !Battle #StreamRaiders,31,2020-11-15T01:00:53Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_n3rd_heard-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '8486f56b-8677-44f7-8004-000295391524', '27937cec-5cfc-4f56-b1d3-f6e1d67735e2']",affiliate,Zyphon and Rocketgirl are a husband and wife duo-stream team that have been hanging out and video gaming for over 20 years! ,
