id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
39981571244,58221890,DoktorFroid,509663,Special Events,live,LOOT FÜR DIE WELT 7 ❤ #LFDW7 ❤ !spenden,3907,2020-11-14T11:09:04Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_doktorfroid-{width}x{height}.jpg,"['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '63e83904-a70b-4709-b963-a37a105d9932', '9166ad14-41f1-4b04-a3b8-c8eb838c6be6', 'bb5e7234-380e-48ad-a59c-03e51274e478']",partner,"DoktorFroid, das sind LeFloid, Frodo, Olli und Paul! Und weil mehr besser ist, gibt's hier von Allem etwas: Partyspiele, Kochen, Sport und natürlich die beste Morning Show und die beste Prime Time Show auf Twitch! ",
40495458782,435001516,behindenemylinesnews,509663,Special Events,live,Stay out of Vancouver!!!,254,2020-11-15T05:34:42Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_behindenemylinesnews-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"Born and raised in Portland, OR we are: Pro Life, Pro Gun, Pro God, Pro 1A and 2A (the most important rights). If this does not sound like something you want to watch you are welcome to leave the page please allow us to exercise our rights!   ",
40493994510,50607054,SEGA,509663,Special Events,live,SEGA LIVE - EXTRA LIFE 24 hour charity stream!,82,2020-11-15T04:10:35Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sega-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,ESRB Rating: EVERYONE TO MATURE   |   Welcome to the official SEGA channel! We're streaming both old and new SEGA games.,
39992955212,150114822,Ael_Cherrydusk,509663,Special Events,live,24hr Charity Stream - Macmillan GameHeroes,15,2020-11-15T00:10:36Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_ael_cherrydusk-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '63e83904-a70b-4709-b963-a37a105d9932', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e']",affiliate,"I'm Ael, a long time gamer, lover of retro games and mmo's. Join me on stream or in my discord for some fun and ""interesting"" times.  ***Music supplied by  AARONDOESAUDIO & SKYRYDER***",
40490141310,49500047,letsplaypsx,509663,Special Events,live,Extra Life 2020! Let's raise some money for the kidz!,14,2020-11-15T00:47:29Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_letsplaypsx-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '3ef3258b-5623-41da-8f5f-169c716a84da', 'bb5e7234-380e-48ad-a59c-03e51274e478']",,"Offering an amuse bouche of locally sourced, free-ranged, & grass-fed games from consoles old and new, Extra Life 2020 is bringing PS5 titles and hits from the 80's, 90's, 00's & today! Let's play some games for the kidz and make a poopy year a little better.",
39993322108,74616402,Starfightor,509663,Special Events,live,"spécial 24h pour vous remercier, passez un bon moment avec nous <3",13,2020-11-15T01:29:12Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_starfightor-{width}x{height}.jpg,['6f655045-9989-4ef7-8f85-1edcec42d648'],affiliate,Dans la joie et la bonne humeur,
39982563276,436872039,LaYeahManTeam,509663,Special Events,live,"[FR]✨1000ème heure de Live ✨Jeux multis, indés, Yeah Man Cuisine, Tier List Jeux Vidéo et OST Games Awards | !discord",10,2020-11-14T12:42:26Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_layeahmanteam-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'b2c03e34-e7c2-4fcd-939a-6853838edce5']",affiliate,"Ouaiiiiiiiii, coucou moi c'est Aurel ! Streameur depuis plus d'un an, je fais des Lives solo ou complétez par Yumi et Mika, autres membres de LaYeahManTeam. Dans nos Lives, vous trouverez évidemment du Gaming, mais pas seulement .En effet, l'objectif de notre chaîne est également Culturelle.",
40492893438,240279447,djkuman,509663,Special Events,live,djkuman’s mobile stream,7,2020-11-15T03:11:59Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_djkuman-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,,
40495098670,52671576,Pushay,509663,Special Events,live,Pokemon cards,7,2020-11-15T05:12:20Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_pushay-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,paaahntz,
39980879628,146048381,Refraction,509663,Special Events,live,EXTRA LIFE 2020,6,2020-11-14T09:50:08Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_refraction-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'bb5e7234-380e-48ad-a59c-03e51274e478', '3ef3258b-5623-41da-8f5f-169c716a84da']",affiliate,"We are Refraction, the Approaching Nirvana community run Twitch channel! ",
40492981934,104954342,IcyRagemora,509663,Special Events,live,Extra Life 2020 Stream,5,2020-11-15T03:16:36Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_icyragemora-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,"I'm a gameplay programmer at DoubleFine who loves to play video games with my friends.I also like to explore new places, try out new food I've never had before, and chill/play with my 2 doggos, Flora and Albee.*My opinions are my own and do not represent Double Fine Productions or Microsoft.",
40494824158,608223894,SNAFUConPanels,509663,Special Events,live,Webcomic Safari: Crossed Wires (16+),3,2020-11-15T04:56:41Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_snafuconpanels-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,"Sierra Nevada Anime Fans Unite! Reno, Nevada's Anime Convention.",
40483104094,149773148,The_MapleMouse,509663,Special Events,live,Extralife 24 hour Charity Stream Go!,3,2020-11-14T14:45:34Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_the_maplemouse-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,,
39719134125,529464994,dylan_jak21,509663,Special Events,live,Funny non-toxic,3,2020-11-15T05:13:37Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_dylan_jak21-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,,
40495067150,579686713,scepticfan53745,509663,Special Events,live,fortnite with frends,3,2020-11-15T05:10:26Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_scepticfan53745-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,,
39980567340,14735615,okand1,509663,Special Events,live,broadcast,3,2020-11-14T09:01:29Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_okand1-{width}x{height}.jpg,"['bb5e7234-380e-48ad-a59c-03e51274e478', 'cc8d5abb-39c9-4942-a1ee-e1558512119e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",,🌊🌊🌊🌊🌊🌊,
39719109293,604383936,sal123804,509663,Special Events,live,Fortnite ,2,2020-11-15T05:08:51Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sal123804-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,,
39718256797,183852006,xxThe_Lion,509663,Special Events,live,jaws the boardgame,2,2020-11-15T03:02:45Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_xxthe_lion-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,,
39967899324,450988954,frankmvenlo,509663,Special Events,live,Puppy Nestje van Indie en Sem,2,2020-11-13T08:28:22Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_frankmvenlo-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,,
40495535166,274653080,mikemaze86,509663,Special Events,live,Pac 12 dyn Cal vs Utah week 5,2,2020-11-15T05:39:24Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_mikemaze86-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,,
