id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
39993581628,28219022,Vargskelethor,499859,Spelunky 2,live,Joel || Daily Spunky + Crysis ( Will It Run? ) fecalfunny.com,2065,2020-11-15T03:18:50Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_vargskelethor-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,My name is Joel. I'm from Sweden and I hate video games. I eat nails for breakfast and tame Siberian tigers in my spare free time. I like metal and I know how to kill skeletons.,
40494535566,77368577,dad_as_heck,499859,Spelunky 2,live,spunky shenanigans | i dont know how i feel about new olmec fight ,271,2020-11-15T04:40:05Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_dad_as_heck-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,please give me money so I can buy more video games and maybe a tent,
40491303502,88192640,Ivyoary,499859,Spelunky 2,live,✨x9 CO Wins !yt Grinding Score CO ✨,115,2020-11-15T01:50:05Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_ivyoary-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,I play Vermintide 2 and am ok at it,
40491475358,443267862,nashinashi,499859,Spelunky 2,live,たのしい7-99,74,2020-11-15T01:58:55Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_nashinashi-{width}x{height}.jpg,['6ba1d230-e52f-4d81-b1e0-41f25a8a9f5d'],affiliate,白いモンエナと緑のモンエナが好きです,
40493703118,133343714,LondonHD,499859,Spelunky 2,live,LETS SPELUNK (Blind Playthrough),10,2020-11-15T03:55:32Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_londonhd-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,Gaming out the wazoo since 96',
40492847646,233424058,DoomCalamari,499859,Spelunky 2,live,Watch me suck at Spelunky 2 with DeathRoulette!,9,2020-11-15T03:09:31Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_doomcalamari-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"A man with the brain of a squid. I enjoy lots of different types of games but prefer open world, survival, adventure and exploration.",
40493455934,479763350,shutupmonke,499859,Spelunky 2,live,trying to beat spelunky 2 (but probably failing miserably),7,2020-11-15T03:41:58Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_shutupmonke-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],,just some degenerate who enjoys streaming every now and then,
40490038446,43462823,ZenConnection,499859,Spelunky 2,live,Cosmic runs (PB: 7-17) and maybe speed runs,6,2020-11-15T00:41:21Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_zenconnection-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,ॐ Meditative gaming channel ॐ,
40487715230,75847094,ShinGraywords,499859,Spelunky 2,live,Spelunky 2 - whatever runs! - 日本語で話そう！ [EN/JP],5,2020-11-14T22:07:54Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_shingraywords-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,Usually Spelunking.,
40492020286,41339820,TheNoidBag,499859,Spelunky 2,live,I Made It to Ice Caves Before I Swear,5,2020-11-15T02:26:30Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_thenoidbag-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"Get in the Bag, the Noid Bag.",
40494554078,423279361,0자유의영혼0,499859,Spelunky 2,live,제발...엔딩...좀... [Spelunky 2],4,2020-11-15T04:41:08Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_apk0220-{width}x{height}.jpg,"['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ffc3eb89-13e8-45cb-907f-4d9eb8f32d43']",affiliate,디맥을 주로 하지만 가끔 하고싶은거 하는 트위치 스트리머 자유의영혼입니다!방송시간월요일~금요일=5시30분~6시30분주말=갑자기 켜짐,
40492012350,64387484,WeekendNinja,499859,Spelunky 2,live,Spelunky 2 Chill Stream! (EN/PC) || !twitter,4,2020-11-15T02:26:02Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_weekendninja-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e']",affiliate,Know when I go Live! https://twitter.com/Weekend_Ninja,
