id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
39715601405,31457014,Pace22,71375,Star Citizen,live,Space Pirates,795,2020-11-14T21:39:10Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_pace22-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"Get Crushed, collect salt",
40493344654,114168828,SamIAmPHX,71375,Star Citizen,live,🔥Scans & Scans🔥 !giveaway x1 [PTU 3.11.1],160,2020-11-15T03:35:57Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_samiamphx-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409']",partner,Creative Director and player of various video games.,
40486745774,52839768,Cobbobles,71375,Star Citizen,live,An Extra Pair of Shorts,125,2020-11-14T20:55:28Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_cobbobles-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,A selection of creative words.,
40491675518,72784900,SgtTickles,71375,Star Citizen,live,!StackUp Charity Stream |  100i !giveaway Sassy Saturday with Igo!!,108,2020-11-15T02:08:20Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sgttickles-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,Long time gamer.  Started online gaming with WoW and I have played almost everything in between.  ,
40493705566,454016033,Viridy,71375,Star Citizen,live,*Best Shot in Lorville* #olespliney  !giveaway !125a,69,2020-11-15T03:55:41Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_viridy-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"Content creator. Here to brighten things up, Create some laughs & Play some games!  🍀♣️ viridyonline@gmail.com",
40490580126,481499622,MarcusTheWay,71375,Star Citizen,live,Star Runner on the PTU. New to the verse? Welcome. AMA.,67,2020-11-15T01:10:48Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_marcustheway-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,I tried to be reasonable. I didn't like it.,
39993272012,56723013,cornholio21,71375,Star Citizen,live,most wanted drug dealer | org OP later | !org !sounds !tp ,64,2020-11-15T01:15:11Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_cornholio21-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"Welcome to my Channel! I'm Cornholio, also known as Confused on Discord. I'm 28 years old and living in Germany - my streams are in English. Enjoy the show!",
40492587086,32716727,Toygrubin,71375,Star Citizen,live,Star Citizen PTU Testing & Discussion,52,2020-11-15T02:56:42Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_toygrubin-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,I play and stream a select variety of games. I like to meet new people and make friendships that transcend the games I play. I live in the Las Vegas Valley.,
40493806654,491939632,xVEGA_SCx,71375,Star Citizen,live,Star Citizen Come hang out! ,37,2020-11-15T04:00:50Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_xvega_scx-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"Hiya! I'm Cobra TV's better half, streaming Star Citizen where nothing goes as planned!! ",
40492462558,204000749,seanvongone,71375,Star Citizen,live,Hunting for the Star Runner  !giveaway // !hellyeah // !giveaway // !stoner,37,2020-11-15T02:50:10Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_seanvongone-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,,
40487366862,45637058,UniverseRob,71375,Star Citizen,live,Star Champion | !socials !discord,33,2020-11-14T21:42:39Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_universerob-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,Champion level gaming. Official best cat on twitch! Affiliate streamer working towards partner! Sea of Thieves partner.,
39718159901,509592896,CarbonTails_GiP,71375,Star Citizen,live,Shooting Saturday w/ Girl-in-Pigtails and TheQue // New? AMA // Ultrawide ,22,2020-11-15T02:51:09Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_carbontails_gip-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"A husband (TheQue) and wife (girl-in-pigtails) team who adventures through the verse. TheQue brings the technical side (Mr.OCD w/ research) and girl-in-pigtails brings a curious nature. Streaming is our way of relaxing, having fun and bonding with others who have the same interests. Let’s do it!",
