id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
40489854542,139094686,punkdagod,488615,Street Fighter V,live,!Youtube !Sub Harmony? and Chill. @Punkdagod on all social media,690,2020-11-15T00:30:35Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_punkdagod-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,Pro SFV player just trying to entertain you guys who support me,
40494782942,119850800,정질,488615,Street Fighter V,live,UYU_NL 2시 아프리카 오락실,305,2020-11-15T04:54:25Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_jungjil-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],partner,Player:NL Sponsored by UYU.Street Fighter V Akuma/cammy Player.,
40493591470,120162451,RevvyRad,488615,Street Fighter V,live,Gold Lucia Main - Lets get Super Gold,229,2020-11-15T03:49:21Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_revvyrad-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,,
40494456686,133198509,john_takeuchi,488615,Street Fighter V,live,【SFV】まったりラシコデ,93,2020-11-15T04:35:39Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_john_takeuchi-{width}x{height}.jpg,['6ba1d230-e52f-4d81-b1e0-41f25a8a9f5d'],partner,竹内ジョンです。I am John Takeuchi.Professional Street Fighter V Rashid player @TeamLiquid ,
40493281566,42707193,리삼의망령,488615,Street Fighter V,live,PM2:00 아프리카 오락실,59,2020-11-15T03:32:36Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_tekkenlee3-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],partner,나는!,
40494542174,55045275,ShineNYC,488615,Street Fighter V,live,I beat up the track like john henry,57,2020-11-15T04:40:29Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_shinenyc-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,,
39713737965,121075759,SheldonTwitching,488615,Street Fighter V,live,"Akuma Warlord Grind - Sub Replay Analysis, Developing New Spacing Traps, Attacking at Different Ranges and Refining the Neutral",47,2020-11-14T17:10:58Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sheldontwitching-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '62bc5436-6f91-446d-9651-da008da4e4bb', 'f6dda089-56ef-4fb5-b06e-ddeba46fb5f2']",affiliate,"I enjoy photography, writing music, and placing disproportionate importance on life-wasting video games.",
39719169341,43165642,Ceelows,488615,Street Fighter V,live,Sakura Saturday but very late 🥊,46,2020-11-15T05:20:44Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_ceelows-{width}x{height}.jpg,"['c2839af5-f1d2-46c4-8edc-1d0bfbd85070', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",affiliate,Your fellow wholesome Brooklyn kid,
39716847181,54819693,MissPatriciaa,488615,Street Fighter V,live,Rival Fools Tourney!! SFV Pawwtyy Sets!! 1K Follows WHAT?!,42,2020-11-15T00:22:08Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_misspatriciaa-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"I'm MissPatriciaa AKA: Lima_Hilton! Lets Play Some Games, and Learn a thing or two on this Journey Shall We?",
40491244670,58568159,Xnightmareeffect,488615,Street Fighter V,live,SAUCE ACADEMY= New Video Live on !Youtube MERCH UPDATED!,33,2020-11-15T01:46:49Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_xnightmareeffect-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '8486f56b-8677-44f7-8004-000295391524', '396aee63-bb8a-43c4-95da-98fca08e144b', '3280c8d8-64c0-45f7-aeaa-189928b0e82c']",affiliate,Sup Guys! Super Saucian God Here! Mainly Play Fighting Games but I also play alot of Variety Games. Content Creator/Entertainer Who looks to make people Laugh! IF you Miss the Stream follow My Medias! Never Miss a Beat with me! ,
