id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
40494316238,29400754,Lacari,461067,Tekken 7,live,Tekken > Genshin > Arknights > Yakuzo 2,892,2020-11-15T04:28:06Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_lacari-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"The Boshy, BGC Pillar, EQNX member and legendary God Gamer.",
40490710110,82536119,전업호그,461067,Tekken 7,live,술병에 몸살,392,2020-11-15T01:17:54Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_lmyourfather-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],partner,안녕하세요 철권7 리차오랑 유저입니다. I am tekken7 lee chaolan user.,
40494440622,8554751,ricksteeezy,461067,Tekken 7,live,tekken season 4 - mash on minus,209,2020-11-15T04:34:47Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_ricksteeezy-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"I play fight games, mainly Tekken.  Will play anything. Follow me on twitter @ricksteeezy",
40493052686,439920217,게임하는망자,461067,Tekken 7,live,주말졷권스터디[일반인출입금지],144,2020-11-15T03:20:23Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_game_deceased-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],affiliate,,
40492314606,10085448,TheNameIsMYK,461067,Tekken 7,live,Get 20% Off + Free Shipping + 2 Free Gifts on @MANSCAPED by visiting https://www.MANSCAPED.com/LUYG #ad #sponsored 11/14/2020,134,2020-11-15T02:42:07Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_thenameismyk-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '3280c8d8-64c0-45f7-aeaa-189928b0e82c']",affiliate,Video Games Go BRRRRRRRRRRRRRRRRRRR,
40492941982,163671980,crazyDongpal,461067,Tekken 7,live,멀고도 험난한 크니미츠..,133,2020-11-15T03:14:29Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_crazydongpal-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],affiliate,게임좋아하는 크레이지동팔 입니다.,
40494106222,158472176,광견진,461067,Tekken 7,live,광견진 화랑 낮방?,90,2020-11-15T04:16:43Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_maddogjin1-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],affiliate,안녕하세요 화랑 광견진입니다.,
40490361934,403662692,깡재성,461067,Tekken 7,live,파랑단 피박살내겠습니다,79,2020-11-15T00:59:52Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_wotjdwhk-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],affiliate,안녕하세요 종합 스트리머 재성입니다 와꾸하나믿고 방송합니다 트게더 공지를 확인해주세요,
39716233789,32361429,sonic_sol,461067,Tekken 7,live,Tekken / YGO | !discord !levitate,73,2020-11-14T23:05:15Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sonic_sol-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,"Post Grad that loves fighting games and other vidya. I currently play (and am somewhat good at) a ton of Granblue, Street Fighter and Samurai Shodown and help viewers on how to play fighters while hosting online tournaments. Let's have fun! Be sure to follow too :)",
40492957726,95825202,Binchang,461067,Tekken 7,live,Binchang) Rank time,68,2020-11-15T03:15:17Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_binchang-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,Professional Tekken player for @Nfinite,
