id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
40495182158,117379932,KingGeorge,460630,Tom Clancy's Rainbow Six Siege,live,Ranked. Twitch sent me a !truck @KingGeorge !charm !twitter !youtube !insta,1152,2020-11-15T05:17:24Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_kinggeorge-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '8486f56b-8677-44f7-8004-000295391524', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '2b2a4874-8a3c-4995-b9e2-2a0bce1eb536']",partner,"Rainbow Six Invitational World Champion. Sponsored by SamsungUS, Corsair, Elgato Gaming, Postmates, Gfuel, Overwolf, Tracker Network, and Aimlab.",
40491550926,24198048,Matimi0,460630,Tom Clancy's Rainbow Six Siege,live,Sub Games TTS Siege - !charm,621,2020-11-15T02:02:19Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_matimi0-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,Video gamer,
40495086926,562902717,coding_byanna,460630,Tom Clancy's Rainbow Six Siege,live,Rainbow six + ¿Ana en HD?,412,2020-11-15T05:11:35Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_coding_byanna-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],affiliate,🪐 Ana María Díaz👩🏻‍💻 Software engineering student👾Gaming and Coding Streamer,
39718678125,144405562,priscilaneo,460630,Tom Clancy's Rainbow Six Siege,live,RANKS (XBOX)🔥 !sub !insta !comandos !sorteio,298,2020-11-15T03:57:02Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_priscilaneo-{width}x{height}.jpg,"['39ee8140-901a-4762-bfca-8260dea1310f', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '63e83904-a70b-4709-b963-a37a105d9932', '8486f56b-8677-44f7-8004-000295391524', 'cc8d5abb-39c9-4942-a1ee-e1558512119e']",affiliate,"Hellou bem vindo(a), faço lives diárias e de diversos jogos, na aba Sobre tem mais informações sobre mim. Espero que goste!!",
40494812622,193783940,WhosSpeedy,460630,Tom Clancy's Rainbow Six Siege,live,(NA/Champ) Top #10 Champ | Ranked | !youtube,189,2020-11-15T04:56:02Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_whosspeedy-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180']",affiliate,Controller BTW,
40495353758,171821664,Mexxicanz,460630,Tom Clancy's Rainbow Six Siege,live,Controller Champion Ranked,121,2020-11-15T05:28:15Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_mexxicanz-{width}x{height}.jpg,"['d4bb9c58-2141-4881-bcdc-3fe0505457d1', '1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180']",partner,Top Rainbow Six Siege Streamer in Console - CC For MET - @Mexxicanz on socials/media 🇲🇽🇺🇸 ,
39718907917,432360466,Rei_Artur_FPS,460630,Tom Clancy's Rainbow Six Siege,live,"Rankedz, Cola ai quem for rico e doa kkkkkkkkkkk",120,2020-11-15T04:31:55Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_rei_artur_fps-{width}x{height}.jpg,['39ee8140-901a-4762-bfca-8260dea1310f'],affiliate,"Fala rapaziada! meu nome eh artur, tenho 18 anos e decidi começar a fazer live aqui na twitch. espero que gostem sz",
40491454510,121498457,Nyx_R6,460630,Tom Clancy's Rainbow Six Siege,live,[NA/PRO] FPL !team !coaching !video ,117,2020-11-15T01:57:54Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_nyx_r6-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],affiliate,,
40491878510,90129419,Aust1nian,460630,Tom Clancy's Rainbow Six Siege,live,TMs pogo,108,2020-11-15T02:18:53Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_aust1nian-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"Someone took Aust1n, now I have Aust1nian",
40493208574,126861858,sprOnigiri,460630,Tom Clancy's Rainbow Six Siege,live,[PRO/EN/TH]Xavier - short stream uWu,84,2020-11-15T03:28:50Z,th,https://static-cdn.jtvnw.net/previews-ttv/live_user_spronigiri-{width}x{height}.jpg,"['f19c7524-c18d-41af-9f39-034c8d0b0fee', 'b157e8d6-b7ba-49f4-836f-09886c072f1f']",affiliate,"Hi, I'm a Pro Rainbow Six Siege player for Xavier Esports. Feel free to talk and ask :) ill reply every message. I stream other game sometimes. Enjoy the stream!",
39993762492,186341589,NotNimaLone,460630,Tom Clancy's Rainbow Six Siege,live,"Ranked
ghavi vali sar be zir! ...
!Donate !YouTube !Instagram",75,2020-11-15T05:37:30Z,other,https://static-cdn.jtvnw.net/previews-ttv/live_user_notnimalone-{width}x{height}.jpg,['fd76c790-0505-4c4c-865a-d6bd139c0901'],,The One And Only NimaLone,
