id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
40486024270,181590300,Firefox_Blue,18122,World of Warcraft,live,"Long stream. 24 hr maybe? We'll play some BG3, WoW, Elite Dangerous, and of course VRC.",910,2020-11-14T19:58:01Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_firefox_blue-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"I'm a VRChat mute who likes to dance, chill, and spend time with friends.",
39716224541,112286787,NOHITJEROME,18122,World of Warcraft,live,we pumping AV WEEKEND Excited for naxx | First week since Multibox was banned in Classic WoW !POBox,641,2020-11-14T23:04:03Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_nohitjerome-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,,
40494354958,7555574,Crendor,18122,World of Warcraft,live,uhhh idk,565,2020-11-15T04:30:09Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_crendor-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"I'm a professional gamer that is terrible at video games, but decent at making dumb commentary while I play them",
40493120686,131334795,김초짜,18122,World of Warcraft,live,Re: 제로부터 시작하는 어둠땅 D-9,539,2020-11-15T03:24:03Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_broodling2-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],partner,게임하며 노는 방송,
40492765390,169016641,PalmBee,18122,World of Warcraft,live,if ur a ___ im a _____ !guayakiyerbamate,491,2020-11-15T03:05:19Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_palmbee-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,had to delete a ton of content on twitch/youtube due to ✨DMCA✨. Starting again fresh copyright free :) what gonna be numba one clip now? hmmmm,
40489191774,40926256,trancebrew,18122,World of Warcraft,live,fort week but it's teeming !routes updated for tyrannical,405,2020-11-14T23:51:16Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_trancebrew-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'b157e8d6-b7ba-49f4-836f-09886c072f1f']",affiliate,I'm passionate about trance music and I play every tank but mostly focus on Brewmaster. I started playing WoW at the end of Legion and I DPS in raid for Lazarus Imperative. Feel free to ask any brew/tank/m+/trance related questions.,
40488456574,55734842,Kalamazi,18122,World of Warcraft,live,"BIGGG Saturdayyyy Stream! New YT/Stream Layout, Changes and More! Beta/Live Mythic + | !Video !wa !rares",391,2020-11-14T23:01:11Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_kalamazi-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'b157e8d6-b7ba-49f4-836f-09886c072f1f']",partner,"Current raider in Temerity-Hyjal (12/12M, US 24 HOF).  I stream mostly Warlock PVE related content but have a handful of alts I play at times. Contact: Kalamazing98@gmail.com",
40490442542,27230844,불양님,18122,World of Warcraft,live,WOW불양 - 전직업 만렙 달성 어둠땅 출시 9일전 ,324,2020-11-15T01:03:38Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_raminida-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],,게임과 스포츠를 좋아하는 방송인,
40492400382,179687252,_미니쨩_,18122,World of Warcraft,live,안퀴라즈의 딸 미니의 일요일 아침,311,2020-11-15T02:46:56Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_wowyoming-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],affiliate,격아 초반부터 3년간 와우한 3년차 뉴비입니당♡ 방송시간은 am2~7am 랜덤이구휴방은 밍게더를 확인해주세요! ,
40491350430,143750277,Tiqqlethis,18122,World of Warcraft,live,Beta Enhance/Ele SHAMAN w/Viewers Mythic+/PvP⚡!GFUEL !giveaway !talents !tierlist⚡3x GLAD SHAMAN⚡,287,2020-11-15T01:52:41Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_tiqqlethis-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '79977fb9-f106-4a87-a386-f1b0f99783dd', '8486f56b-8677-44f7-8004-000295391524', 'ce8e38a5-bd6b-4bab-b671-d7144d85b266', '62bc5436-6f91-446d-9651-da008da4e4bb']",affiliate,"World of Warcraft and other Games, guides, patch notes, all the things! Mostly PvP! Elemental Shaman, Enhance Shaman, Resto Shaman (3x Glad, 2.7k experience), and Mythic+! Some alts with Rogue, Druid, Warlock , Paladin and other things! Some Raiding come Shadowlands and DEF good times. ",
40489451198,34862965,PsychoxDH,18122,World of Warcraft,live,Beta M+ <BDGG> !coolermaster !discord !builds !faq,281,2020-11-15T00:06:24Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_psychoxdh-{width}x{height}.jpg,"['2a14b52e-d459-4c92-be11-5d86b898f6b6', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",partner,Havoc Demon Hunter main in BDGG. I stream high end raiding and mythic plus.,
40494795294,603148105,DejaVu_WOW,18122,World of Warcraft,live,[Deja Vu] 어둠땅 컨텐츠 설명회 두둥,270,2020-11-15T04:55:06Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_dejavu_wow-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],,안녕하세요.월드 오브 워크래프트 아즈샤라 서버 Deja Vu 팀의 공식 채널입니다.,
