id,user_id,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,broadcaster_type,description,type
40492044558,47474524,DizzyKitten,512121,Yakuza: Like a Dragon,live,Teatime with Dizzy! ASMR later!,1662,2020-11-15T02:27:51Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_dizzykitten-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,,
40493803566,83435622,TheNo1Alex,512121,Yakuza: Like a Dragon,live,[PC]Yakuza plays Yakuza ,695,2020-11-15T04:00:41Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_theno1alex-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,Just a bold man doing bold things.,
40493206590,37764822,RomComm,512121,Yakuza: Like a Dragon,live,"(Chapter 4) Like a Dragon, for the very first time",116,2020-11-15T03:28:43Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_romcomm-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"I am a late night variety caster who plays a bit of everything. I plays games like any midwestern American would; bullheaded but with a belly full of cheese and an overly nice personality. Welcome to those who enjoy half written jokes, half assed voice acting and obscure references from 20 years ago",
40486546222,24203432,Chalupa_Pants,512121,Yakuza: Like a Dragon,live,Zombies and Some Yakuza later !Raid,115,2020-11-14T20:39:28Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_chalupa_pants-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,Yes,
39990886076,42396350,Punchy,512121,Yakuza: Like a Dragon,live,(Day 4) YAKUZA 7 ANALOGOUS TO A DRAGON do not backseat ffs !gdq,111,2020-11-14T21:09:07Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_punchy-{width}x{height}.jpg,"['7cefbf30-4c3e-4aa7-99cd-70aabb662f27', '2b19c8f9-695f-4ea1-a5fe-eba176770dbc', '1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e027fb8b-219e-4959-8240-a4a082be0316', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",partner,i play games fast,
40493964238,20943449,TheNoosh22,512121,Yakuza: Like a Dragon,live,YAKUZA LIKE A DRAGON!!! !avmmec,86,2020-11-15T04:08:57Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_thenoosh22-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,Noosh is a full time variety broadcaster here on Twitch. She plays all genres and also does creative streams from time to time. Dont be a dick.,
40491424190,55797297,ShinigamiEater,512121,Yakuza: Like a Dragon,live,funny woohoo japan adventure - part 4,79,2020-11-15T01:56:23Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_shinigamieater-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],partner,"18+, streams intended for mature audiences only --- i'm kuu, a skeleton who is cursed to stream most days of the week around 9pm EST",
39992963724,37639602,Pokytom,512121,Yakuza: Like a Dragon,live,[Découverte] Yakuza tel le Dragon Quest !,55,2020-11-15T00:11:58Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_pokytom-{width}x{height}.jpg,['6f655045-9989-4ef7-8f85-1edcec42d648'],affiliate,Clochard de 12 ans qui aime beaucoup rigoler.,
40489813086,169409024,TheCraneCouple,512121,Yakuza: Like a Dragon,live,Yakuza LAD playthrough continued + new !subgoal (MA content),51,2020-11-15T00:28:17Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_thecranecouple-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'cc8d5abb-39c9-4942-a1ee-e1558512119e', 'd0976a7e-26a7-4a48-9225-c522808540f2', 'eaba0ad7-c4e1-4878-b37f-01308dbb65c8', 'c2839af5-f1d2-46c4-8edc-1d0bfbd85070']",affiliate,"Full-time internet content creators! We're a YouTube couple that loves gaming on Twitch, and our unique triple PC streaming setup gives you an experience you can't get anywhere else! We love variety games, especially anything cooperative! ",
40488340302,482893,Laphin,512121,Yakuza: Like a Dragon,live,Ultimate Yeen Dragon of The Universe! | Tweet @Laphin,43,2020-11-14T22:53:48Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_laphin-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', 'd0976a7e-26a7-4a48-9225-c522808540f2', '26301bb2-91a3-4272-8a9b-5bcea6db0fcd', 'a4fac2cc-7cd4-44a6-b620-178182389a5b']",partner,"Hey there!  I am Laphin Hyena, a former mascot at Universal Studios Florida, voice actor for youtube animations, indie games, lover of 80s synths and retrowave music.  I love to be interactive with my chat, and we have movie nights here!  I enjoy horror & stories with great narratives!",
