box_art_url,id,name
https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-52x72.jpg,33214,Fortnite
https://static-cdn.jtvnw.net/ttv-boxart/The%20Evil%20Within%202-52x72.jpg,497437,The Evil Within 2
https://static-cdn.jtvnw.net/ttv-boxart/DOOM-52x72.jpg,6715,DOOM
https://static-cdn.jtvnw.net/ttv-boxart/./Halo%203:%20ODST-52x72.jpg,21785,Halo 3: ODST
https://static-cdn.jtvnw.net/ttv-boxart/Miner%20Ultra%20Shooter-52x72.jpg,499023,Miner Ultra Shooter
https://static-cdn.jtvnw.net/ttv-boxart/Shadows%20of%20the%20Damned-52x72.jpg,29422,Shadows of the Damned
https://static-cdn.jtvnw.net/ttv-boxart/Everyday%20Shooter-52x72.jpg,9131,Everyday Shooter
https://static-cdn.jtvnw.net/ttv-boxart/./Infamous:%20Second%20Son-52x72.jpg,126292,Infamous: Second Son
https://static-cdn.jtvnw.net/ttv-boxart/./Devil%20May%20Cry%203:%20Dante%27s%20Awakening-52x72.jpg,822,Devil May Cry 3: Dante's Awakening
https://static-cdn.jtvnw.net/ttv-boxart/./BPM:%20BULLETS%20PER%20MINUTE-52x72.jpg,519165,BPM: BULLETS PER MINUTE
https://static-cdn.jtvnw.net/ttv-boxart/APB%20Reloaded-52x72.jpg,19157,APB Reloaded
https://static-cdn.jtvnw.net/ttv-boxart/Super%20Amazing%20Wagon%20Adventure-52x72.jpg,67376,Super Amazing Wagon Adventure
https://static-cdn.jtvnw.net/ttv-boxart/Point%20Blank-52x72.jpg,8510,Point Blank
https://static-cdn.jtvnw.net/ttv-boxart/The%20Last%20of%20Us%20Part%20II-52x72.jpg,494552,The Last of Us Part II
https://static-cdn.jtvnw.net/ttv-boxart/Due%20Process-52x72.jpg,490264,Due Process
https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20IV-52x72.jpg,18707,Grand Theft Auto IV
https://static-cdn.jtvnw.net/ttv-boxart/./FRAG:%20Pro%20Shooter-52x72.jpg,511725,FRAG: Pro Shooter
https://static-cdn.jtvnw.net/ttv-boxart/Vigor-52x72.jpg,506489,Vigor
https://static-cdn.jtvnw.net/ttv-boxart/./Resident%20Evil:%20Revelations-52x72.jpg,28576,Resident Evil: Revelations
https://static-cdn.jtvnw.net/ttv-boxart/Post%20Scriptum-52x72.jpg,497441,Post Scriptum
https://static-cdn.jtvnw.net/ttv-boxart/./Ratchet%20&%20Clank:%20Going%20Commando-52x72.jpg,4230,Ratchet & Clank: Going Commando
https://static-cdn.jtvnw.net/ttv-boxart/./Ratchet%20&%20Clank%20Future:%20A%20Crack%20in%20Time-52x72.jpg,23209,Ratchet & Clank Future: A Crack in Time
https://static-cdn.jtvnw.net/ttv-boxart/Call%20of%20Duty%202-52x72.jpg,2162,Call of Duty 2
https://static-cdn.jtvnw.net/ttv-boxart/Autumn%20Night%203D%20Shooter-52x72.jpg,497153,Autumn Night 3D Shooter
https://static-cdn.jtvnw.net/ttv-boxart/./Terminator:%20Resistance-52x72.jpg,514426,Terminator: Resistance
https://static-cdn.jtvnw.net/ttv-boxart/./Ghost%20In%20The%20Shell:%20Stand%20Alone%20Complex-52x72.jpg,506446,Ghost In The Shell: Stand Alone Complex
https://static-cdn.jtvnw.net/ttv-boxart/./Senran%20Kagura:%20Peach%20Beach%20Splash-52x72.jpg,493724,Senran Kagura: Peach Beach Splash
https://static-cdn.jtvnw.net/ttv-boxart/Quantum%20Break-52x72.jpg,369365,Quantum Break
https://static-cdn.jtvnw.net/ttv-boxart/Mega%20Man%20X3-52x72.jpg,15538,Mega Man X3
https://static-cdn.jtvnw.net/ttv-boxart/Firewall%20Zero%20Hour-52x72.jpg,500644,Firewall Zero Hour
https://static-cdn.jtvnw.net/ttv-boxart/./Tom%20Clancy%27s%20Ghost%20Recon:%20Wildlands-52x72.jpg,490379,Tom Clancy's Ghost Recon: Wildlands
https://static-cdn.jtvnw.net/ttv-boxart/./Angry%20Video%20Game%20Nerd%20Adventures%202:%20ASSimilation-52x72.jpg,492061,Angry Video Game Nerd Adventures 2: ASSimilation
https://static-cdn.jtvnw.net/ttv-boxart/./Half-Life:%20Alyx-52x72.jpg,515195,Half-Life: Alyx
https://static-cdn.jtvnw.net/ttv-boxart/Sixty%20Second%20Shooter%20Deluxe-52x72.jpg,76455,Sixty Second Shooter Deluxe
https://static-cdn.jtvnw.net/ttv-boxart/./Aquanox:%20Deep%20Descent-52x72.jpg,461353,Aquanox: Deep Descent
https://static-cdn.jtvnw.net/ttv-boxart/./Z1:%20Battle%20Royale-52x72.jpg,417892,Z1: Battle Royale
https://static-cdn.jtvnw.net/ttv-boxart/Team%20Fortress%202-52x72.jpg,16676,Team Fortress 2
https://static-cdn.jtvnw.net/ttv-boxart/Paladins-52x72.jpg,491115,Paladins
