box_art_url,id,name
https://static-cdn.jtvnw.net/ttv-boxart/Dishonored-52x72.jpg,32156,Dishonored
https://static-cdn.jtvnw.net/ttv-boxart/./Assassin%27s%20Creed:%20Brotherhood-52x72.jpg,27924,Assassin's Creed: Brotherhood
https://static-cdn.jtvnw.net/ttv-boxart/Tiny%20Heist-52x72.jpg,978298663,Tiny Heist
https://static-cdn.jtvnw.net/ttv-boxart/Space%20Marshals%202-52x72.jpg,493475,Space Marshals 2
https://static-cdn.jtvnw.net/ttv-boxart/./Qasir%20Al-Wasat:%20A%20Night%20in-Between-52x72.jpg,82732,Qasir Al-Wasat: A Night in-Between
https://static-cdn.jtvnw.net/ttv-boxart/./Age%20of%20Conan:%20Hyborian%20Adventures-52x72.jpg,8841,Age of Conan: Hyborian Adventures
https://static-cdn.jtvnw.net/ttv-boxart/./Eisenhorn:%20XENOS-52x72.jpg,492218,Eisenhorn: XENOS
https://static-cdn.jtvnw.net/ttv-boxart/Metal%20Gear%20Acid-52x72.jpg,8798,Metal Gear Acid
https://static-cdn.jtvnw.net/ttv-boxart/./Assassin%27s%20Creed:%20Rogue-52x72.jpg,461339,Assassin's Creed: Rogue
https://static-cdn.jtvnw.net/ttv-boxart/./Hitman:%20Absolution-52x72.jpg,23880,Hitman: Absolution
https://static-cdn.jtvnw.net/ttv-boxart/./Rayman%202:%20The%20Great%20Escape-52x72.jpg,569,Rayman 2: The Great Escape
https://static-cdn.jtvnw.net/ttv-boxart/Harry%20Potter%20and%20the%20Goblet%20of%20Fire-52x72.jpg,16893,Harry Potter and the Goblet of Fire
https://static-cdn.jtvnw.net/ttv-boxart/Shadwen-52x72.jpg,491591,Shadwen
https://static-cdn.jtvnw.net/ttv-boxart/./Robin%20Hood:%20The%20Legend%20of%20Sherwood-52x72.jpg,6029,Robin Hood: The Legend of Sherwood
https://static-cdn.jtvnw.net/ttv-boxart/./Rittai%20Ninja%20Katsugeki%20Tenchu:%20Shinobi%20Hyakusen-52x72.jpg,66359,Rittai Ninja Katsugeki Tenchu: Shinobi Hyakusen
https://static-cdn.jtvnw.net/ttv-boxart/./Teenage%20Mutant%20Ninja%20Turtles:%20Shadow%20Heroes-52x72.jpg,488268,Teenage Mutant Ninja Turtles: Shadow Heroes
https://static-cdn.jtvnw.net/ttv-boxart/./Assassin%27s%20Creed%20III:%20Liberation-52x72.jpg,65924,Assassin's Creed III: Liberation
https://static-cdn.jtvnw.net/ttv-boxart/./H-Hour:%20World%27s%20Elite-52x72.jpg,369684,H-Hour: World's Elite
https://static-cdn.jtvnw.net/ttv-boxart/Pillars%20of%20Eternity-52x72.jpg,68028,Pillars of Eternity
https://static-cdn.jtvnw.net/ttv-boxart/Shadow%20of%20Rome-52x72.jpg,5231,Shadow of Rome
https://static-cdn.jtvnw.net/ttv-boxart/Stealth-52x72.jpg,13419,Stealth
https://static-cdn.jtvnw.net/ttv-boxart/The%20Elder%20Scrolls%20Online-52x72.jpg,65654,The Elder Scrolls Online
https://static-cdn.jtvnw.net/ttv-boxart/./Tenchu%202:%20Birth%20of%20the%20Stealth%20Assassins-52x72.jpg,14431,Tenchu 2: Birth of the Stealth Assassins
https://static-cdn.jtvnw.net/ttv-boxart/Sacred%20Fire-52x72.jpg,494272,Sacred Fire
https://static-cdn.jtvnw.net/ttv-boxart/Stealth%20Fishing-52x72.jpg,508337,Stealth Fishing
https://static-cdn.jtvnw.net/ttv-boxart/Geneticognito-52x72.jpg,497409,Geneticognito
https://static-cdn.jtvnw.net/ttv-boxart/Assassin%27s%20Creed%20III-52x72.jpg,33631,Assassin's Creed III
https://static-cdn.jtvnw.net/ttv-boxart/Fallout%202-52x72.jpg,5097,Fallout 2
https://static-cdn.jtvnw.net/ttv-boxart/Sly%20Cooper%20and%20the%20Thievius%20Raccoonus-52x72.jpg,14081,Sly Cooper and the Thievius Raccoonus
https://static-cdn.jtvnw.net/ttv-boxart/Neverwinter%20Nights%202-52x72.jpg,8315,Neverwinter Nights 2
https://static-cdn.jtvnw.net/ttv-boxart/Tomb%20Raider%20Chronicles-52x72.jpg,9297,Tomb Raider Chronicles
https://static-cdn.jtvnw.net/ttv-boxart/./Stealth%20Bastard%20Deluxe:%20The%20Teleporter%20Chambers-52x72.jpg,1475338104,Stealth Bastard Deluxe: The Teleporter Chambers
https://static-cdn.jtvnw.net/ttv-boxart/./Tenchu:%20Wrath%20of%20Heaven-52x72.jpg,6900,Tenchu: Wrath of Heaven
https://static-cdn.jtvnw.net/ttv-boxart/Aerannis-52x72.jpg,490985,Aerannis
https://static-cdn.jtvnw.net/ttv-boxart/./Star%20Wars:%20Knights%20of%20the%20Old%20Republic-52x72.jpg,17179,Star Wars: Knights of the Old Republic
https://static-cdn.jtvnw.net/ttv-boxart/Cold%20War-52x72.jpg,2732,Cold War
https://static-cdn.jtvnw.net/ttv-boxart/Cover%20Fire-52x72.jpg,753305864,Cover Fire
https://static-cdn.jtvnw.net/ttv-boxart/Persona%205-52x72.jpg,27473,Persona 5
https://static-cdn.jtvnw.net/ttv-boxart/Helldorado-52x72.jpg,8805,Helldorado
https://static-cdn.jtvnw.net/ttv-boxart/Stealth%20Bastard-52x72.jpg,464936083,Stealth Bastard
https://static-cdn.jtvnw.net/ttv-boxart/Metal%20Gear%20Acid%202-52x72.jpg,7976,Metal Gear Acid 2
https://static-cdn.jtvnw.net/ttv-boxart/Sneaky%20Sneaky-52x72.jpg,490074,Sneaky Sneaky
https://static-cdn.jtvnw.net/ttv-boxart/Evotinction-52x72.jpg,511670,Evotinction
https://static-cdn.jtvnw.net/ttv-boxart/Earth%20Eternal-52x72.jpg,25320,Earth Eternal
https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Stealth%20Triple%20Pack-52x72.jpg,495738,Ultimate Stealth Triple Pack
https://static-cdn.jtvnw.net/ttv-boxart/Deus%20Ex%20GO-52x72.jpg,507661,Deus Ex GO
https://static-cdn.jtvnw.net/ttv-boxart/Fost%20-%20Ghost%20Vs%20Fox-52x72.jpg,510479,Fost - Ghost Vs Fox
https://static-cdn.jtvnw.net/ttv-boxart/./Mutant%20Year%20Zero:%20Road%20to%20Eden-52x72.jpg,504260,Mutant Year Zero: Road to Eden
https://static-cdn.jtvnw.net/ttv-boxart/Prince%20of%20Persia%203D-52x72.jpg,9968,Prince of Persia 3D
