id,name,box_art_url,Live viewers,Live channels,Rank,"Avg. viewers, 7 days","Avg. channels, 7 days","Hours watched, 7 days",Peak viewers ,Peak channels ,"Viewers per channel, 7 days"
509658,Just Chatting,https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-{width}x{height}.jpg,241947,4261,# 1,311300,3953,52454089,951446 2020-06-11,12139 2020-06-11,78.8
21812,Demon's Souls,https://static-cdn.jtvnw.net/ttv-boxart/Demon%27s%20Souls-{width}x{height}.jpg,126221,579,# 17,36667,139,6105032,224012 2020-11-14,740 2020-11-13,263.8
512709,Call of Duty: Black Ops Cold War,https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Black%20Ops%20Cold%20War-{width}x{height}.jpg,114112,12172,# 8,78241,3044,13092266,705050 2020-09-09,23950 2020-11-13,25.7
21779,League of Legends,https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-{width}x{height}.jpg,107977,4415,# 2,187713,4786,31629597,2044782 2020-10-31,8887 2020-11-14,39.2
512980,Fall Guys: Ultimate Knockout,https://static-cdn.jtvnw.net/ttv-boxart/./Fall%20Guys:%20Ultimate%20Knockout-{width}x{height}.jpg,96034,381,# 47,6460,326,1087464,708865 2020-08-28,7276 2020-08-15,19.8
460316,Brawlhalla,https://static-cdn.jtvnw.net/ttv-boxart/Brawlhalla-{width}x{height}.jpg,89448,156,# 36,10490,137,1762387,102630 2020-11-08,297 2020-07-25,76.6
27471,Minecraft,https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-{width}x{height}.jpg,67314,3252,# 3,127713,3054,21519652,517164 2020-11-14,5545 2020-11-07,41.8
510218,Among Us,https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-{width}x{height}.jpg,63098,2895,# 5,109710,2026,18486070,774280 2020-11-05,12362 2020-09-26,54.2
33214,Fortnite,https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-{width}x{height}.jpg,61004,8804,# 4,113099,8425,19057147,2277171 2020-06-15,117582 2020-06-15,13.4
1956568859,GlitchCon,https://static-cdn.jtvnw.net/ttv-boxart/GlitchCon-{width}x{height}.jpg,61185,50,# 40,79968,39,1626018,247278 2020-11-14,141 2020-11-14,2050.5
516575,VALORANT,https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-{width}x{height}.jpg,59407,3303,# 12,59142,2858,9965363,1726074 2020-04-07,16304 2020-05-06,20.7
512710,Call Of Duty: Modern Warfare,https://static-cdn.jtvnw.net/ttv-boxart/./Call%20Of%20Duty:%20Modern%20Warfare-{width}x{height}.jpg,52783,9925,# 6,90165,8725,15192725,947432 2020-08-26,32008 2020-08-26,10.3
517330,Assassin's Creed Valhalla,https://static-cdn.jtvnw.net/ttv-boxart/Assassin%27s%20Creed%20Valhalla-{width}x{height}.jpg,52912,1343,# 7,84483,1931,14235305,285622 2020-11-10,6751 2020-11-10,43.8
32982,Grand Theft Auto V,https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-{width}x{height}.jpg,50681,1711,# 11,65596,1818,11052889,389213 2020-06-05,5831 2020-05-16,36.1
511224,Apex Legends,https://static-cdn.jtvnw.net/ttv-boxart/Apex%20Legends-{width}x{height}.jpg,44886,5100,# 10,64414,4569,10853733,674070 2019-02-12,18919 2019-02-12,14.1
26936,Music,https://static-cdn.jtvnw.net/ttv-boxart/Music-{width}x{height}.jpg,42087,1316,# 20,28977,1000,4882620,293589 2020-10-11,2188 2020-05-09,29
518204,FIFA 21,https://static-cdn.jtvnw.net/ttv-boxart/FIFA%2021-{width}x{height}.jpg,28867,762,# 13,60459,1379,10187341,473474 2020-10-29,4324 2020-11-06,43.8
138585,Hearthstone,https://static-cdn.jtvnw.net/ttv-boxart/Hearthstone-{width}x{height}.jpg,27212,221,# 16,37244,283,6275660,310315 2018-04-12,2283 2018-04-12,131.6
497057,Destiny 2,https://static-cdn.jtvnw.net/ttv-boxart/Destiny%202-{width}x{height}.jpg,25079,2315,# 18,31435,2441,5296859,470915 2017-05-18,14143 2017-09-06,12.9
29595,Dota 2,https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-{width}x{height}.jpg,21961,502,# 14,56658,852,9546937,1041033 2019-08-25,1762 2020-05-02,66.5
491487,Dead by Daylight,https://static-cdn.jtvnw.net/ttv-boxart/Dead%20by%20Daylight-{width}x{height}.jpg,21496,1662,# 21,27943,1402,4708418,146841 2018-08-25,3264 2020-11-01,19.9
491931,Escape From Tarkov,https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-{width}x{height}.jpg,21174,1020,# 25,21085,925,3552741,316928 2020-06-19,4204 2020-05-28,22.8
32399,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-{width}x{height}.jpg,20896,1303,# 9,77841,1802,13116132,1304870 2018-01-28,5572 2020-04-04,43.2
518184,Phasmophobia,https://static-cdn.jtvnw.net/ttv-boxart/Phasmophobia-{width}x{height}.jpg,21322,2158,# 27,18510,1644,3118874,253155 2020-10-02,8898 2020-10-31,11.3
518007,Marvel's Spider-Man: Miles Morales,https://static-cdn.jtvnw.net/ttv-boxart/./Marvel%27s%20Spider-Man:%20Miles%20Morales-{width}x{height}.jpg,20589,907,# 26,35660,577,3631355,168427 2020-11-11,1735 2020-11-13,61.8
518023,NBA 2K21,https://static-cdn.jtvnw.net/ttv-boxart/NBA%202K21-{width}x{height}.jpg,12566,1383,# 22,25553,709,4305700,113007 2020-09-04,6943 2020-09-04,36
493057,PLAYERUNKNOWN'S BATTLEGROUNDS,https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-{width}x{height}.jpg,20112,823,# 24,22380,880,3771052,597663 2018-07-27,6482 2018-04-03,25.4
513143,Teamfight Tactics,https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-{width}x{height}.jpg,17434,336,# 29,18684,395,3148268,364836 2019-07-17,2966 2019-07-17,47.3
513181,Genshin Impact,https://static-cdn.jtvnw.net/ttv-boxart/Genshin%20Impact-{width}x{height}.jpg,16160,1125,# 23,23794,1266,4009267,214804 2020-09-29,5822 2020-10-03,18.8
18122,World of Warcraft,https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Warcraft-{width}x{height}.jpg,15877,1214,# 15,38502,1607,6487662,1135186 2019-08-26,19080 2019-08-26,24
66082,Games + Demos,https://static-cdn.jtvnw.net/ttv-boxart/Games%20+%20Demos-{width}x{height}.jpg,12819,71,# 94,2419,76,405120,206441 2019-06-09,211 2020-04-28,31.8
488552,Overwatch,https://static-cdn.jtvnw.net/ttv-boxart/Overwatch-{width}x{height}.jpg,11947,1281,# 31,16018,1062,2698952,439152 2018-01-11,3559 2017-06-01,15.1
30921,Rocket League,https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-{width}x{height}.jpg,11779,1719,# 19,29065,1651,4897511,263903 2020-03-29,3528 2020-09-25,17.6
29307,Path of Exile,https://static-cdn.jtvnw.net/ttv-boxart/Path%20of%20Exile-{width}x{height}.jpg,11458,206,# 46,7043,214,1186669,259936 2019-11-15,3903 2020-06-19,32.9
509659,ASMR,https://static-cdn.jtvnw.net/ttv-boxart/ASMR-{width}x{height}.jpg,11292,125,# 44,8041,124,1354970,25076 2020-03-31,161 2020-10-28,64.8
509660,Art,https://static-cdn.jtvnw.net/ttv-boxart/Art-{width}x{height}.jpg,10551,698,# 34,11993,766,2020755,109703 2020-09-27,1132 2020-10-27,15.7
499003,VRChat,https://static-cdn.jtvnw.net/ttv-boxart/VRChat-{width}x{height}.jpg,10024,234,# 51,5952,131,998960,81185 2020-09-06,356 2020-11-01,45.4
28342,Core,https://static-cdn.jtvnw.net/ttv-boxart/Core-{width}x{height}.jpg,9276,3,# 565,204,2,22501,19079 2020-10-30,9 2020-10-29,102
263490,Rust,https://static-cdn.jtvnw.net/ttv-boxart/Rust-{width}x{height}.jpg,9249,310,# 32,14175,318,2388488,56945 2017-11-26,759 2020-05-07,44.6
460630,Tom Clancy's Rainbow Six Siege,https://static-cdn.jtvnw.net/ttv-boxart/Tom%20Clancy%27s%20Rainbow%20Six%20Siege-{width}x{height}.jpg,8240,1376,# 30,17056,1189,2874010,253535 2018-02-18,3813 2020-06-16,14.3
502732,Garena Free Fire,https://static-cdn.jtvnw.net/ttv-boxart/Garena%20Free%20Fire-{width}x{height}.jpg,7852,372,# 33,13719,321,2311580,293530 2020-08-31,614 2020-11-11,42.7
508391,Krunker,https://static-cdn.jtvnw.net/ttv-boxart/Krunker-{width}x{height}.jpg,7007,56,# 185,852,49,143390,44382 2020-11-03,153 2020-07-10,17.4
459931,Old School RuneScape,https://static-cdn.jtvnw.net/ttv-boxart/Old%20School%20RuneScape-{width}x{height}.jpg,6775,241,# 37,9837,240,1657587,111329 2018-12-15,628 2020-10-28,41
498566,Slots,https://static-cdn.jtvnw.net/ttv-boxart/Slots-{width}x{height}.jpg,5997,99,# 28,20774,126,3500459,201907 2019-09-01,230 2020-04-30,164.9
508948,Raid: Shadow Legends,https://static-cdn.jtvnw.net/ttv-boxart/./Raid:%20Shadow%20Legends-{width}x{height}.jpg,5852,24,# 119,1622,27,271343,29046 2020-05-20,58 2020-11-01,60.1
514179,Blazing Sails,https://static-cdn.jtvnw.net/ttv-boxart/Blazing%20Sails-{width}x{height}.jpg,5355,17,# 98,2549,10,401865,40060 2020-09-09,41 2020-11-07,254.9
497451,Pokémon Sword/Shield,https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Sword/Shield-{width}x{height}.jpg,5361,275,# 42,8458,290,1425157,188177 2019-11-15,4413 2019-11-15,29.2
19976,MapleStory,https://static-cdn.jtvnw.net/ttv-boxart/MapleStory-{width}x{height}.jpg,4775,144,# 56,4901,99,824235,28991 2020-09-13,306 2020-06-25,49.5
490422,StarCraft II,https://static-cdn.jtvnw.net/ttv-boxart/StarCraft%20II-{width}x{height}.jpg,4565,92,# 45,7822,90,1318045,150349 2018-11-04,238 2020-03-28,86.9
511399,Super Mario Maker 2,https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Maker%202-{width}x{height}.jpg,4138,52,# 104,2113,45,354222,261132 2020-01-12,1021 2019-06-29,47
509663,Special Events,https://static-cdn.jtvnw.net/ttv-boxart/Special%20Events-{width}x{height}.jpg,4146,49,# 58,4770,58,799026,3053471 2020-06-11,6145 2020-06-11,82.2
22302,Penn & Teller's Smoke and Mirrors,https://static-cdn.jtvnw.net/ttv-boxart/Penn%20&%20Teller%27s%20Smoke%20and%20Mirrors-{width}x{height}.jpg,4354,1,# 199,4520,1,135613,11026 2018-11-13,3 2016-11-18,4520
512864,Eternal Return: Black Survival,https://static-cdn.jtvnw.net/ttv-boxart/./Eternal%20Return:%20Black%20Survival-{width}x{height}.jpg,4151,139,# 52,5714,146,960859,48123 2020-10-25,320 2020-11-11,39.1
512121,Yakuza: Like a Dragon,https://static-cdn.jtvnw.net/ttv-boxart/./Yakuza:%20Like%20a%20Dragon-{width}x{height}.jpg,3751,259,# 41,9980,182,1563493,41402 2020-11-10,545 2020-11-11,54.8
1041,Diablo II,https://static-cdn.jtvnw.net/ttv-boxart/Diablo%20II-{width}x{height}.jpg,3712,99,# 86,2787,67,468206,12094 2018-09-04,188 2020-11-06,41.6
743,Chess,https://static-cdn.jtvnw.net/ttv-boxart/Chess-{width}x{height}.jpg,3742,57,# 43,8557,71,1441925,156139 2020-06-14,219 2020-05-03,120.5
9618,Pokémon Trading Card Game,https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Trading%20Card%20Game-{width}x{height}.jpg,3748,42,# 127,1487,26,247890,31306 2020-02-22,93 2020-11-14,57.2
27284,Retro,https://static-cdn.jtvnw.net/ttv-boxart/Retro-{width}x{height}.jpg,3575,183,# 65,3898,188,656819,86249 2019-01-10,352 2020-09-12,20.7
7022,The Forest,https://static-cdn.jtvnw.net/ttv-boxart/The%20Forest-{width}x{height}.jpg,3550,184,# 106,1927,130,323446,53932 2019-01-01,352 2020-11-01,14.8
32507,SMITE,https://static-cdn.jtvnw.net/ttv-boxart/SMITE-{width}x{height}.jpg,3327,386,# 50,6157,292,1037397,103033 2017-01-08,682 2020-07-16,21.1
517406,Madden NFL 21,https://static-cdn.jtvnw.net/ttv-boxart/Madden%20NFL%2021-{width}x{height}.jpg,3420,380,# 60,4073,296,683642,39091 2020-10-07,1582 2020-11-05,13.8
386821,Black Desert Online,https://static-cdn.jtvnw.net/ttv-boxart/Black%20Desert%20Online-{width}x{height}.jpg,3457,165,# 62,4147,190,698829,68229 2020-10-11,511 2020-09-02,21.8
65632,DayZ,https://static-cdn.jtvnw.net/ttv-boxart/DayZ-{width}x{height}.jpg,3203,236,# 63,4001,251,672824,107222 2020-08-29,627 2020-09-12,15.9
13389,Age of Empires II,https://static-cdn.jtvnw.net/ttv-boxart/Age%20of%20Empires%20II-{width}x{height}.jpg,3147,65,# 73,3444,63,579114,65918 2020-10-24,129 2020-11-06,54.7
2748,Magic: The Gathering,https://static-cdn.jtvnw.net/ttv-boxart/./Magic:%20The%20Gathering-{width}x{height}.jpg,3387,101,# 48,6738,122,1135282,155932 2019-03-31,499 2020-04-16,55.2
489635,ARK: Survival Evolved,https://static-cdn.jtvnw.net/ttv-boxart/./ARK:%20Survival%20Evolved-{width}x{height}.jpg,3100,344,# 68,3399,349,571564,57817 2017-12-12,815 2020-02-26,9.7
490377,Sea of Thieves,https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-{width}x{height}.jpg,3054,521,# 61,3817,399,642588,265839 2018-01-29,4941 2018-03-20,9.6
493174,Jackbox Party Packs,https://static-cdn.jtvnw.net/ttv-boxart/Jackbox%20Party%20Packs-{width}x{height}.jpg,2891,238,# 112,1737,83,291206,59416 2020-10-15,692 2020-03-29,20.9
461067,Tekken 7,https://static-cdn.jtvnw.net/ttv-boxart/Tekken%207-{width}x{height}.jpg,2870,129,# 67,3852,137,647784,249081 2019-08-05,504 2017-06-02,28.1
65654,The Elder Scrolls Online,https://static-cdn.jtvnw.net/ttv-boxart/The%20Elder%20Scrolls%20Online-{width}x{height}.jpg,2743,122,# 72,3367,126,566290,159050 2019-01-15,336 2019-05-27,26.7
24241,FINAL FANTASY XIV Online,https://static-cdn.jtvnw.net/ttv-boxart/FINAL%20FANTASY%20XIV%20Online-{width}x{height}.jpg,2694,392,# 83,2454,311,412730,133656 2019-03-23,2442 2019-06-28,7.9
499859,Spelunky 2,https://static-cdn.jtvnw.net/ttv-boxart/Spelunky%202-{width}x{height}.jpg,2930,32,# 117,1652,34,277484,60903 2020-09-15,350 2020-09-30,48.6
417752,Talk Shows & Podcasts,https://static-cdn.jtvnw.net/ttv-boxart/Talk%20Shows%20&%20Podcasts-{width}x{height}.jpg,2464,187,# 39,9553,195,1609723,413724 2020-05-30,723 2020-06-11,49
10979,The Legend of Zelda,https://static-cdn.jtvnw.net/ttv-boxart/The%20Legend%20of%20Zelda-{width}x{height}.jpg,2377,10,# 563,153,5,21637,167391 2020-01-08,42 2018-02-03,30.6
514207,The Dark Pictures Anthology: Little Hope,https://static-cdn.jtvnw.net/ttv-boxart/./The%20Dark%20Pictures%20Anthology:%20Little%20Hope-{width}x{height}.jpg,2438,90,# 80,2962,115,496576,310321 2020-10-30,2104 2020-10-31,25.8
489111,Summoners War: Sky Arena,https://static-cdn.jtvnw.net/ttv-boxart/./Summoners%20War:%20Sky%20Arena-{width}x{height}.jpg,2287,29,# 129,1458,30,244684,72453 2019-10-26,90 2020-04-17,48.6
515481,Godfall,https://static-cdn.jtvnw.net/ttv-boxart/Godfall-{width}x{height}.jpg,2227,252,# 35,17989,303,1774881,96665 2020-11-11,750 2020-11-12,59.4
509538,Animal Crossing: New Horizons,https://static-cdn.jtvnw.net/ttv-boxart/./Animal%20Crossing:%20New%20Horizons-{width}x{height}.jpg,2166,86,# 93,2383,110,398416,245597 2020-03-20,4404 2020-03-20,21.7
1614555304,Call of Duty: Warzone,https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Warzone-{width}x{height}.jpg,2206,844,# 74,2320,612,388927,46535 2020-11-03,1562 2020-10-21,3.8
12839,Heroes of Might and Magic III: The Restoration of Erathia,https://static-cdn.jtvnw.net/ttv-boxart/./Heroes%20of%20Might%20and%20Magic%20III:%20The%20Restoration%20of%20Erathia-{width}x{height}.jpg,2145,9,# 70,3896,23,654491,19320 2020-10-25,49 2020-10-24,169.4
518022,Astro’s Playroom,https://static-cdn.jtvnw.net/ttv-boxart/Astro%E2%80%99s%20Playroom-{width}x{height}.jpg,2019,54,# 78,5037,41,540648,87245 2020-11-13,224 2020-11-13,122.9
494082,Visage,https://static-cdn.jtvnw.net/ttv-boxart/Visage-{width}x{height}.jpg,2121,67,# 81,3018,70,505957,92871 2020-11-02,532 2020-10-31,43.1
514194,Rogue Company,https://static-cdn.jtvnw.net/ttv-boxart/Rogue%20Company-{width}x{height}.jpg,2070,626,# 66,3015,579,506549,122607 2020-08-18,2177 2020-07-28,5.2
